Itr,train-PolicyExecTime,LossBefore,Time-Sampling,train-EnvExecTime,n_timesteps,train-NumTrajs,train-MaxReturn,train-MinReturn,train-AverageDiscountedReturn,Time-Optimization,train-AverageReturn,Time-SampleProc,Time,ItrTime,LossAfter,train-StdReturn
0,24.978652715682983,-1.2207031e-08,30.19621205329895,4.5595762729644775,10000,100,55.295945996735284,-161.10763982792253,-44.61265093393387,6.5117528438568115,-25.950843719040154,0.06574106216430664,36.774348974227905,36.77434182167053,-80.69444,34.45143294669222
1,22.950406789779663,1.5258789e-09,27.72516417503357,4.2898945808410645,20000,100,25.854633091986727,-133.20656480408672,-84.46059074231835,3.048696756362915,-50.740504765602964,0.055676937103271484,67.78012299537659,30.831108808517456,-0.031624377,33.35188995144667
2,23.461395502090454,1.0681152e-08,28.1109676361084,4.185736656188965,30000,100,28.345403217782486,-119.33229115197292,-76.1148269532225,2.9850618839263916,-45.15621706807492,0.057916879653930664,98.96324896812439,31.15588688850403,-0.0028104996,31.79440562310441
3,26.60903811454773,-1.2207031e-08,31.52399516105652,4.383116722106934,40000,100,44.43011705306273,-108.43370824065214,-49.94294383353918,2.880911111831665,-30.513633550959447,0.06042909622192383,133.46064114570618,34.46683120727539,-0.0081674075,31.451441380363416
4,24.77042579650879,-2.746582e-08,29.61694598197937,4.345045804977417,50000,100,37.28089885808722,-105.9300674651964,-42.05502523408359,2.367638111114502,-25.888080389157757,0.053244829177856445,165.53155612945557,32.039438009262085,-0.00781391,29.319350553392002
5,26.81413221359253,2.4414062e-08,31.734498023986816,4.391959190368652,60000,100,50.365334511035655,-79.04474013946381,-30.858433239497025,2.6668219566345215,-19.145033935530286,0.0534060001373291,200.00926899909973,34.45611023902893,-0.0002679199,31.34247372116662
6,28.039756298065186,-2.4414062e-08,33.39491891860962,4.7675909996032715,70000,100,58.040515754696855,-108.1082834650561,-33.95865581546561,2.711627960205078,-22.782685770897423,0.16561293601989746,236.37617111206055,36.34271788597107,-0.0095582735,30.25733251484764
7,26.83059811592102,-1.2207031e-08,31.89521884918213,4.435954809188843,80000,100,78.840257233377,-83.69703708720691,-22.030975490747984,3.0740280151367188,-14.394784618518665,0.07313799858093262,271.43992495536804,35.04301309585571,-0.0038616029,28.891505858003764
8,24.674415588378906,8.392334e-09,29.487871170043945,4.317238807678223,90000,100,56.879007290431524,-85.4631355194123,-13.017073564696554,2.8384697437286377,-9.557755523152471,0.04903769493103027,303.83661007881165,32.37671995162964,-0.0045740553,32.894876869209774
9,23.96455216407776,6.1035155e-09,28.740819931030273,4.2839202880859375,100000,100,82.39457708640198,-92.13057239291405,-15.49488459187073,2.357114315032959,-10.81834645208253,0.050406694412231445,335.0116500854492,31.14979386329651,-0.0065504396,29.934477629839314
