train-MaxReturn,train-NumTrajs,Time-Sampling,Itr,LossBefore,train-AverageReturn,train-AverageDiscountedReturn,Time,train-MinReturn,ItrTime,train-StdReturn,LossAfter,Time-SampleProc,n_timesteps,Time-Optimization,train-EnvExecTime,train-PolicyExecTime
129.21844250263595,100,170.29047083854675,0,-0.012357227,-43.66767138147915,-105.04170027773985,178.1725800037384,-207.72098826860034,178.17257499694824,86.34304708657865,-3.111308,0.02266693115234375,10000,7.858736038208008,5.451584339141846,164.29375743865967
197.235220825387,100,164.5322470664978,1,-0.0044300416,155.61838773848484,267.0674460483784,345.98885202407837,125.74430686736594,167.53637981414795,14.874113978451705,-2.6024027,0.023207902908325195,20000,2.9801979064941406,5.101860761642456,158.96775126457214
186.2322432756042,100,162.8385558128357,2,0.022019565,159.50806271203083,276.1216726824565,512.1285269260406,120.5973906540328,166.11734294891357,8.324638154658958,-3.165684,0.020483016967773438,30000,3.2560341358184814,4.898002862930298,157.48481822013855
180.0070952638608,100,162.9570071697235,3,-0.010672766,161.45380560154058,277.6165230807003,677.9788682460785,144.33271594539534,165.82702493667603,6.249803937658983,-4.2851057,0.018776655197143555,40000,2.8503129482269287,4.845577716827393,157.62774896621704
172.94888401937956,100,160.68628478050232,4,0.008505149,157.556052195591,264.5492164781945,841.5383589267731,140.94310400647558,163.53692507743835,4.667590885696783,-9.796154,0.020092010498046875,50000,2.828845977783203,4.9535229206085205,155.28809928894043
164.227172361767,100,165.74380373954773,5,0.0022851608,151.34622383036591,249.274314302428,1010.1132640838623,143.29496376244072,168.54644918441772,4.389092769811194,-11.539012,0.019208908081054688,60000,2.782008171081543,5.075559139251709,160.2241780757904
158.31848507137582,100,163.02717995643616,6,0.022216994,147.0498364340343,239.75237116180762,1176.3259670734406,140.46416022581178,166.18956208229065,3.0522318195156304,-5.196714,0.02095794677734375,70000,3.1399409770965576,5.018811464309692,157.55784058570862
158.46397465495957,100,172.2963228225708,7,0.0072543425,146.3672214621161,238.57545937217793,1351.9353959560394,141.06633959679405,175.5636351108551,3.002838396189461,-2.2448387,0.01978015899658203,80000,3.2457478046417236,5.271066427230835,166.52564811706543
158.8325139796926,100,165.84542798995972,8,-0.005394857,146.73931011123904,239.27993068236395,1520.7534098625183,141.06757617603535,168.79496502876282,3.7511814544469586,-1.2750263,0.02094101905822754,90000,2.927248001098633,5.382335186004639,159.97945499420166
162.9015180864127,100,149.95543789863586,9,0.03170998,147.80301956247618,241.51105329252087,1675.0598680973053,140.07622163017626,154.28326225280762,4.001384831012866,-0.85302293,0.023665904998779297,100000,4.302043199539185,5.0963897705078125,144.31541657447815
159.4664809868944,100,148.59380197525024,10,-0.0066356887,147.76103359844808,241.57179897073493,1826.9356708526611,140.53226610461942,151.85316801071167,4.287492137767947,-0.6732196,0.029124021530151367,110000,3.2287659645080566,4.962810039520264,143.18706965446472
166.3828714846908,100,155.02966570854187,11,-0.006207601,148.43372393889456,243.00275894956644,1985.0195679664612,141.45390024374151,158.06103706359863,4.960027544696382,-0.56224996,0.023151874542236328,120000,3.006605863571167,4.945617437362671,149.63726997375488
166.53039085944636,100,155.6004819869995,12,-0.012457394,148.6823753054227,243.56352254461532,2143.3819580078125,140.94467467574216,158.34072995185852,4.974115881000544,-0.45827818,0.019557952880859375,130000,2.7190117835998535,5.0233471393585205,150.13780331611633
162.2794416616284,100,164.84661102294922,13,0.0005704163,149.7668968588736,246.18373841390544,2311.21213889122,141.4173204721717,167.80714583396912,5.131984448909603,-0.3750989,0.019769906997680664,140000,2.9390242099761963,5.0397748947143555,159.3214509487152
160.90022415996182,100,240.38189888000488,14,0.00542139,149.20700866563354,244.64520418915373,2556.430820941925,141.60677670912045,245.19686913490295,4.607145552735013,-0.33810115,0.03491616249084473,150000,4.777234077453613,5.614708662033081,234.26638770103455
166.4368383751257,100,392.568971157074,15,0.011653982,150.563727225395,247.90587944383887,2955.4588639736176,142.05069771246818,398.9982171058655,5.551079646312626,-0.29537138,0.20976805686950684,160000,6.218366384506226,6.679789304733276,385.1500663757324
164.630955864832,100,382.6190447807312,16,-0.02079451,150.75019124719861,248.16795757793653,3343.3632769584656,141.21585098255852,387.8696849346161,5.462673855942852,-0.28519818,0.2410128116607666,170000,5.008793115615845,5.7671122550964355,376.3189687728882
169.25257623228367,100,263.14344120025635,17,-0.014781553,150.56214699955945,247.76469940705326,3610.2848410606384,142.0523298075979,266.62405467033386,5.475649257016272,-0.2738863,0.04579305648803711,180000,3.433422088623047,5.197734594345093,257.44502997398376
165.59155007560665,100,205.85866594314575,18,0.026874997,150.76656311724486,248.35200152939404,3819.5063149929047,140.277962834095,209.19927287101746,5.234970897834722,-0.21745273,0.03607034683227539,190000,3.302762985229492,4.7762134075164795,200.64888525009155
167.33265480158568,100,184.12219333648682,19,-0.0053642676,150.79977336356066,248.44667931225217,4006.84491109848,142.58271566239338,187.31063604354858,5.599909401708535,-0.27524346,0.02638530731201172,200000,3.1605911254882812,4.664628744125366,179.04398107528687
163.08618840137905,100,178.5048508644104,20,-0.0016194062,151.170740331061,249.30459442892604,4188.167528152466,142.81471552558008,181.3020782470703,4.846374176546219,-0.24254575,0.022216796875,210000,2.7729270458221436,4.543143033981323,173.55723023414612
167.34845422156374,100,176.57070517539978,21,-0.0037965241,151.5211162815625,250.32172417887483,4367.458209991455,141.38079712151995,179.2694399356842,5.621785143705961,-0.2382833,0.023688077926635742,220000,2.673792839050293,4.599609375,171.5494668483734
166.08393202203212,100,169.03788781166077,22,0.0068016066,150.95740417175014,248.73772561105127,4539.18025803566,140.9187644111657,171.70011806488037,5.232000820806172,-0.22252224,0.024879932403564453,230000,2.636061906814575,4.686535120010376,163.9433491230011
178.79963430839396,100,192.7753689289093,23,0.017408589,151.81767802788548,250.85102086693266,4735.019191980362,140.194169835276,195.81722283363342,6.573886745548352,-0.20331877,0.03823375701904297,240000,3.0008952617645264,5.156899690628052,187.13871669769287
165.30876120624004,100,179.07177019119263,24,0.0039007263,151.31722322419873,249.35494266171125,4917.000478029251,142.82409451215747,181.94714975357056,5.117720871371898,-0.20002365,0.03248310089111328,250000,2.8424911499023438,4.636641979217529,174.03143310546875
168.5975448085959,100,182.7013807296753,25,-0.006399327,151.90484781005287,250.9892903276163,5102.899040937424,141.422062687437,185.87741899490356,5.526983211973397,-0.25054884,0.02152705192565918,260000,3.1528828144073486,4.58948826789856,177.6978690624237
168.78230847061772,100,186.31057000160217,26,-0.013452896,152.99451136877173,253.54880470593227,5292.042846918106,143.26880314396905,189.12237071990967,5.948938493018027,-0.2850134,0.019850969314575195,270000,2.790493965148926,4.510578632354736,181.39123249053955
170.562586870499,100,192.4140329360962,27,0.0048437486,153.32473224744314,254.3184074070175,5487.994334220886,142.16850803287036,195.85884189605713,6.623861623715049,-0.32047367,0.01926589012145996,280000,3.4225311279296875,4.54572057723999,187.45352721214294
169.42853119377523,100,201.21995210647583,28,0.023779502,152.67863447862135,252.9988752169247,5692.977643966675,141.89069810425607,204.96094393730164,6.606827963420543,-0.34265533,0.021648883819580078,290000,3.7186779975891113,4.568871974945068,196.2478792667389
