train-MinReturn,n_timesteps,train-AverageReturn,LossAfter,Time-Optimization,Time-Sampling,train-EnvExecTime,train-MaxReturn,LossBefore,train-PolicyExecTime,train-AverageDiscountedReturn,train-NumTrajs,Time,train-StdReturn,ItrTime,Itr,Time-SampleProc
-145.35041357967984,10000,-67.18492573804022,-1.4611593,15.967676877975464,406.64972496032715,6.398067235946655,140.78300287084255,-0.014622315,399.61738753318787,-160.3108639857193,100,422.6627480983734,64.67942980797957,422.6627678871155,0,0.041532039642333984
147.5541968069818,20000,173.9061275562668,-0.70672977,4.0691869258880615,268.4168391227722,5.789267301559448,199.62354048917587,-0.020406239,262.0638132095337,315.2274188169242,100,696.051754951477,12.803326864007122,272.5230038166046,1,0.03581690788269043
118.43417754050046,30000,134.15249688026242,-0.31500387,3.2142021656036377,198.40079832077026,5.014314413070679,172.87060247232054,-7.553177e-05,192.92549300193787,235.60435872539608,100,897.7942309379578,10.83060420324451,201.71309685707092,2,0.09496879577636719
31.82261144133857,40000,112.99959995594264,-0.36515275,4.096235036849976,173.7876238822937,5.01652193069458,154.16200422166355,-0.0039337836,168.3318636417389,196.23890704015662,100,1075.7255778312683,18.363961218203062,177.90877294540405,3,0.02294611930847168
79.07148121892318,50000,102.28806831576325,-0.2560629,3.6489248275756836,159.73375797271729,4.495110273361206,153.28700684761182,0.03223992,154.83240008354187,177.60233848384416,100,1239.1548929214478,14.301074176728468,163.40665912628174,4,0.022397756576538086
53.23177961586157,60000,123.23722814086648,-0.45217106,2.6520090103149414,154.49870371818542,4.415971517562866,164.99972892661825,0.0016317627,149.6710319519043,222.10115393521338,100,1396.360034942627,22.493408140494644,157.18257308006287,5,0.030605792999267578
43.188254214104056,70000,112.56783005673002,-3.6224828,2.9194469451904297,153.61687302589417,4.295349359512329,167.54337182094824,0.004269019,148.91194081306458,193.59337692237125,100,1553.06352186203,22.927062372938412,156.68158197402954,6,0.14239811897277832
43.018251173462446,80000,116.81635155925662,-4.9185524,2.7981808185577393,151.9859960079193,4.337860822677612,165.77513835505684,0.0037631774,147.23563241958618,203.10137749990852,100,1707.8886449337006,24.377906620173988,154.80342602729797,7,0.01844620704650879
-62.27972400944244,90000,90.31962816619969,-13.23795,2.7322843074798584,143.50197625160217,4.480787515640259,156.06663020736286,-0.009718445,138.61165475845337,147.31897370330176,100,1854.1664440631866,32.971360166781004,146.25618600845337,8,0.02015209197998047
-121.5246018482164,100000,68.09008192008356,-46.14042,3.154768943786621,168.31776809692383,4.782663822174072,113.03389320806981,0.013740674,162.85893774032593,89.982493965668,100,2025.739991903305,29.410070055434193,171.54793214797974,9,0.05224895477294922
7.040193581391755,110000,73.35179462170228,0.07325508,2.4804441928863525,153.74487805366516,4.479832410812378,181.6063622677744,-0.019413574,148.85110902786255,104.58256844845909,100,2182.186017036438,56.536387348441195,156.4123101234436,10,0.18659496307373047
-194.01036978269127,120000,-61.11679510181892,-2.49164,2.8241379261016846,160.65443181991577,4.372860908508301,93.03411435626828,-0.009772425,155.87528586387634,-154.2082233180283,100,2345.7142219543457,48.207278380178785,163.50762295722961,11,0.027603864669799805
-239.0054560799373,130000,-203.12637653992653,-4.734125,3.3295159339904785,165.6956980228424,4.422934532165527,-157.49929281256237,0.021478502,160.86998391151428,-422.29691144347765,100,2514.7816729545593,16.897847711572236,169.045804977417,12,0.018784046173095703
-143.56272641272136,140000,-139.73312045889526,-18.138384,3.1468119621276855,165.89122009277344,4.576883554458618,-132.4390377534095,0.0055325013,160.91431784629822,-308.9121897419949,100,2683.9362399578094,1.9228581277571475,169.13037419319153,13,0.09028196334838867
-143.25328498017757,150000,-139.89656024281769,-6.0422373,2.9333221912384033,171.3008201122284,4.593571186065674,-123.43424541026448,0.004682455,166.30024528503418,-308.611617407765,100,2858.3278229236603,2.521580542124908,174.3698902130127,14,0.1344749927520752
-172.10352500925364,160000,-139.99431584969741,0.029013354,4.562321186065674,177.025737285614,4.488287687301636,-116.60508275428293,0.0024315957,172.12410259246826,-306.09993350249374,100,3039.95689201355,8.110955369088646,181.60846304893494,15,0.01909470558166504
-186.9348534261822,170000,-49.829247795500606,0.035684887,2.9612698554992676,186.38807034492493,4.372283935546875,-34.16544447515816,0.009479736,181.61354279518127,-95.26193390718853,100,3229.351817846298,29.066654707771725,189.3770730495453,16,0.02587127685546875
-168.08609673179936,180000,-54.754441782413544,-0.16764066,3.663188934326172,187.78236722946167,4.374841690063477,-35.14345487016221,-0.006999194,182.99560976028442,-106.36427560742744,100,3420.845796108246,33.37521151122734,191.46861219406128,17,0.0223391056060791
-177.66942418747107,190000,-73.40534592838551,-0.22387542,3.437680959701538,189.28183484077454,4.493192672729492,-33.77093562742591,-0.0065388917,184.38232111930847,-150.12250929311745,100,3613.607635974884,44.532458781692455,192.7396628856659,18,0.018587827682495117
-176.15136243719564,200000,-122.81482138078775,-0.099958844,3.818253993988037,211.8515751361847,4.8510518074035645,-34.28340905370735,0.0124853635,206.52180671691895,-266.71883831644084,100,3829.3525800704956,37.220437988139935,215.7223560810089,19,0.0516049861907959
-144.7183828841816,210000,-138.41740392521456,-0.14393562,3.6342687606811523,180.2258219718933,4.602808713912964,-42.05629989978805,-0.016845884,175.19720005989075,-305.08752644102765,100,4013.278503894806,11.62582686193488,183.89209079742432,20,0.03156709671020508
-143.0844458759546,220000,-140.33164948112943,-0.18266334,2.89443302154541,180.7706799507141,4.5142786502838135,-136.64410111279187,0.018118542,175.84704303741455,-309.633066777984,100,4197.037601947784,1.39206370328238,183.68827390670776,21,0.02262711524963379
