train-AverageDiscountedReturn,train-MinReturn,LossAfter,Time-SampleProc,Time-Sampling,train-EnvExecTime,train-MaxReturn,train-PolicyExecTime,train-NumTrajs,Time,train-AverageReturn,n_timesteps,Time-Optimization,LossBefore,ItrTime,Itr,train-StdReturn
-160.99715875441717,-154.70054593302783,-1.3336262,0.023066997528076172,42.20094585418701,5.81621789932251,132.42954124521637,35.83146595954895,100,50.08033800125122,-67.65325434511928,10000,7.8418779373168945,-0.0154991215,50.08033299446106,0,62.727207310025044
334.5224456633205,151.92881980036938,-1.0604799,0.1459059715270996,136.93414497375488,5.919180870056152,204.18007416847468,130.5152530670166,100,193.5222327709198,183.18975251261415,20000,6.229507923126221,-0.020320624,143.31082391738892,1,11.686915123560661
247.41993697029073,116.13994230977397,-0.4307267,0.03266716003417969,152.21383786201477,5.372233629226685,176.62919339660283,146.33015966415405,100,350.3036119937897,140.18157304069146,30000,4.48699688911438,-0.0013555175,156.73391890525818,2,12.196378483722182
171.3260886593058,-55.59645702599561,-0.9473924,0.0288240909576416,141.47319984436035,5.164737939834595,171.64926394892916,135.83511805534363,100,496.44206190109253,100.49397762858756,40000,4.616992950439453,-0.012709082,146.1193687915802,3,48.81712265101962
246.22908934585732,73.2871031011047,-1.8270023,0.019390106201171875,141.3025679588318,4.806646108627319,197.70118361322528,136.0780906677246,100,643.8432378768921,136.03178936398623,50000,6.055681943893433,0.03691488,147.37908911705017,4,23.32528951006668
254.37274583648147,49.56857170526329,-4.597385,0.021600723266601562,146.48054695129395,4.811359882354736,195.76799537815998,141.22443747520447,100,793.1959688663483,141.15495077800503,60000,2.8079991340637207,-0.0040752776,149.31168484687805,5,26.357214310119822
250.2248704252087,72.04842360244211,-1.9673246,0.024631977081298828,145.66757011413574,4.823827266693115,166.82066677373763,140.40831542015076,100,944.1396160125732,140.06573685176065,70000,5.231202125549316,0.006155432,150.92394280433655,6,19.28410335709552
247.77275188624216,-22.89106803848158,-1.041314,0.01910877227783203,145.07970118522644,4.780350923538208,177.23187665125312,139.87768459320068,100,1092.8197238445282,136.94084119970938,80000,3.560425043106079,0.0026201538,148.6603968143463,7,35.383650198940344
231.87476982630596,-27.383359171478173,-0.5660501,0.09244298934936523,141.81845116615295,4.691938400268555,187.6674995561811,136.69108080863953,100,1241.566174030304,127.05896961965418,90000,6.815221071243286,-0.017636597,148.72749209403992,8,38.78151466917569
113.32511559398077,-160.7404799611544,-1.8146183,0.026372194290161133,151.6478259563446,4.906424045562744,168.29097553565214,146.2923400402069,100,1397.4199798107147,68.41274619113773,100000,4.157013893127441,0.0056928284,155.83259391784668,9,87.98924397058741
-160.11413955788925,-194.20275864428027,-9.464873,0.04878401756286621,152.88284397125244,5.254081726074219,153.40591138187546,147.19442200660706,100,1553.7409479618073,-60.670150387337365,110000,3.3657450675964355,0.0019340332,156.29964017868042,10,82.00891296470769
-250.60650691836335,-309.35305655958985,-3.4461906,0.0269162654876709,172.59274125099182,5.187600374221802,63.863570200580575,166.94940543174744,100,1729.5457129478455,-122.0129736621579,120000,3.1614930629730225,0.00355094,175.78300023078918,11,77.38878541700853
-179.75373580239318,-195.93927005603638,0.10539783,0.020350933074951172,153.11573696136475,4.94185209274292,13.672176271089919,147.7156684398651,100,1887.6165568828583,-92.50003080164392,130000,4.905239820480347,0.02217647,158.04191780090332,12,72.88622783893418
-300.19000432218553,-197.95469830325558,0.015922533,0.0209810733795166,151.98628902435303,5.238546371459961,2.665624677538534,146.26442742347717,100,2042.8821408748627,-152.39224972276222,140000,3.2382283210754395,0.019739112,155.24677419662476,13,72.87657290115467
-342.3538327284917,-198.15890914064204,-0.049083903,0.02229595184326172,153.7636992931366,5.322876930236816,11.26214299869581,147.96345829963684,100,2200.9610340595245,-173.8752277641197,150000,4.272486925125122,0.009064075,158.05990314483643,14,57.84506019331101
-367.1651752812684,-198.1449334754673,-0.09669676,0.019402265548706055,148.46668791770935,5.274259090423584,10.856966934137073,142.7700159549713,100,2352.7663819789886,-186.62255248276432,160000,3.276827812194824,0.0030949067,151.7658770084381,15,41.08636609066689
-374.66448835373006,-197.96395354762026,-0.14679182,0.027898073196411133,195.80506491661072,6.0434935092926025,6.013151958300636,189.29161024093628,100,2553.9583299160004,-190.48124128349943,170000,5.337245941162109,-0.0043433364,201.17275714874268,16,33.54258073906544
-375.7215465474705,-197.79347970824705,-0.23620845,0.058567047119140625,222.30334424972534,7.311368703842163,-4.107255586752456,214.29957032203674,100,2782.0614931583405,-190.9697350984735,180000,5.699726104736328,-0.0060753906,228.06256580352783,17,31.59346189876634
-386.69655685327695,-198.03902003506744,-0.53279823,0.062253713607788086,190.11555099487305,6.218450307846069,-182.79226193646303,183.3561270236969,100,2976.559033870697,-196.46093364262015,190000,4.288847923278809,0.009415228,194.46736526489258,18,2.0326573427374646
-387.2824475798099,-198.10091401422764,-0.9447231,0.1283731460571289,260.6738860607147,7.096912384033203,-194.75218638919532,252.8914294242859,100,3244.5157368183136,-196.80130522620874,200000,7.1268229484558105,0.010647499,267.92972898483276,19,0.554621480528082
-387.0528206522861,-197.83276800806652,-1.4785268,0.13795828819274902,327.8537859916687,8.032574653625488,-187.7150566608384,319.1638102531433,100,3577.363357067108,-196.69874305536075,210000,4.821028232574463,-0.020796966,332.8145999908447,20,1.1072264451323597
-387.2084604615188,-198.09048689754317,-1.9296625,0.027769088745117188,203.7288739681244,6.468459606170654,-195.73394133042717,196.72280144691467,100,3785.172355890274,-196.7601977886976,220000,4.020924091339111,0.011571408,207.77849888801575,21,0.5394938087835398
-375.62919297963793,-197.7010872186706,-1.7888238,0.03758692741394043,191.87496399879456,6.044430255889893,-103.46563162738562,185.30347299575806,100,3981.6047739982605,-192.33398173757857,230000,4.495198011398315,0.012073465,196.40947198867798,22,18.678480326291886
