train-MinReturn,train-MaxReturn,Time,Itr,ItrTime,LossAfter,LossBefore,train-EnvExecTime,train-AverageReturn,Time-Sampling,train-PolicyExecTime,train-StdReturn,Time-Optimization,n_timesteps,Time-SampleProc,train-AverageDiscountedReturn,train-NumTrajs
-107.6435246953617,36.538851611334984,68.59272599220276,0,68.59272718429565,-0.5421376,0.021133265,4.21558952331543,-23.873018270196255,63.889312982559204,59.207480907440186,30.890652624316413,4.67606782913208,10000,0.024308204650878906,-40.46146826570666,100
-123.2777919714107,60.85990121014014,131.85909485816956,1,63.165127992630005,-0.2036709,-0.015060035,3.8869733810424805,-26.80243657801248,60.99471306800842,56.65999937057495,41.967002388179324,2.1440019607543945,20000,0.02421283721923828,-45.49281322168774,100
-156.04557186182217,73.14194819731445,198.03923296928406,2,66.15664601325989,-0.1963167,0.00048662108,4.181041955947876,-31.592190729976718,63.91951584815979,59.25234842300415,45.86552694291785,2.2091989517211914,30000,0.026108741760253906,-51.474386127489225,100
-132.98250302196115,65.14844091234204,263.23459577560425,3,65.17155313491821,-0.0618479,0.009806884,4.021573543548584,-33.26884138209833,63.02639389038086,58.52179312705994,41.4842001806594,2.1225178241729736,40000,0.021075963973999023,-53.176405465665724,100
-135.39773701102038,35.87610229817315,325.12492394447327,4,61.86725974082947,-0.16062866,-0.036166076,3.9180305004119873,-28.32510183012002,59.105737924575806,54.73194408416748,36.64047853502025,2.73917818069458,50000,0.020766258239746094,-47.648377560209134,100
-107.51129348227066,46.08404918086338,388.2300319671631,5,63.084699869155884,-0.099767484,-0.012410107,4.04979133605957,-23.909109976323638,60.88771915435791,56.382399797439575,33.556666772639744,2.1735498905181885,60000,0.021389007568359375,-40.06378070111025,100
-141.88217874944465,89.57002489208497,450.56697511672974,6,62.31225109100342,-0.17840518,-0.013940467,3.912724733352661,-26.64417797979659,60.10433220863342,55.73310112953186,37.6666600602891,2.1864609718322754,70000,0.01981496810913086,-45.04068442318219,100
-111.19866833594361,75.194861806777,510.4074749946594,7,59.8150680065155,-0.11176587,-0.0021904053,3.8105757236480713,-23.841719119432913,57.50841307640076,53.26237154006958,34.67925916544854,2.2255890369415283,80000,0.07917904853820801,-40.849780063378326,100
-128.7691674664631,45.84442326999368,569.9402530193329,8,59.50991892814636,-0.15095946,-0.014390344,3.748538017272949,-33.06593727750911,57.37090611457825,53.19270396232605,40.41900582891687,2.100205898284912,90000,0.03735017776489258,-53.50941713226016,100
-128.1751927536997,43.19634379653107,626.9266948699951,9,56.961642026901245,-0.21706074,0.004442041,3.7372121810913086,-31.24065657790832,54.900808811187744,50.73984718322754,34.86895724453197,2.039189100265503,100000,0.01972508430480957,-50.4729320421388,100
-126.35776447616112,56.783722631875676,689.7564277648926,10,62.80799674987793,-0.22550195,-0.03029624,3.921431064605713,-31.79020086754259,60.61463212966919,56.25653386116028,36.08971728304582,2.1723320484161377,110000,0.019455909729003906,-53.71308981485773,100
-141.23501599922716,92.42957512983799,748.1615607738495,11,58.38303804397583,-0.19942866,-0.014958637,3.729287624359131,-25.603914354830977,56.70948767662048,52.528324842453,36.60014620642837,1.6553370952606201,120000,0.017867088317871094,-47.516140303154636,100
-155.73223759867372,70.71883425626507,807.1305286884308,12,58.947946071624756,-0.2860701,-0.009329346,3.754748821258545,-36.395035841965445,56.53497385978699,52.28706336021423,35.7243995408899,2.390484094619751,130000,0.020875930786132812,-63.050421482212535,100
-181.00030395565588,118.72600685432221,862.7913339138031,13,55.63837385177612,-0.47094366,-0.0015862305,3.813988208770752,-35.17644522069935,53.52283501625061,49.277307748794556,44.62484139753057,2.0925188064575195,140000,0.021342992782592773,-62.805588374336686,100
-127.01961090096613,47.225375540990356,920.866213798523,14,58.052018880844116,-0.52570206,-0.021327589,3.817798376083374,-30.785422841111366,55.97113609313965,51.719600677490234,36.158006376186,2.0593972206115723,150000,0.020036697387695312,-55.83667262979305,100
