n_timesteps,train-MaxReturn,Itr,train-StdReturn,Time,ItrTime,train-EnvExecTime,train-AverageDiscountedReturn,Time-Optimization,Time-Sampling,train-NumTrajs,LossAfter,Time-SampleProc,train-AverageReturn,LossBefore,train-PolicyExecTime,train-MinReturn
10000,12.253114845748577,0,34.0284262449352,76.59518694877625,76.5951840877533,4.068864345550537,-98.2583961081812,6.2987799644470215,70.26705932617188,100,-0.4356622,0.028772830963134766,-55.592178408045754,0.027040692,65.71754002571106,-146.10101901601993
20000,33.35617512927945,1,31.597457825063195,142.64562702178955,65.9615638256073,3.937643527984619,-86.27661559783544,3.4658589363098145,62.44006395339966,100,-0.18885367,0.05511879920959473,-48.83992274352337,-0.009123047,58.02597761154175,-126.21648578751987
30000,19.42481857151011,2,28.6513597285539,214.27255606651306,71.60450530052185,4.150717258453369,-95.16950724751332,2.9767658710479736,68.60543012619019,100,-0.123780325,0.021737098693847656,-53.750610393085445,0.031870417,63.95851802825928,-140.5450704233758
40000,42.24684141162462,3,30.85741146533599,281.4115731716156,67.11382222175598,3.9395458698272705,-50.02301994086045,2.498479127883911,64.59336519241333,100,-0.12568477,0.021056175231933594,-29.9135796930664,0.005779428,60.18506908416748,-84.33235059259856
50000,49.989800230103725,4,31.789428331237943,349.56210589408875,68.13026595115662,3.9496419429779053,-57.66102520549846,3.2463178634643555,64.86192274093628,100,-0.14260903,0.02049398422241211,-32.42353694347841,-0.015537549,60.40674686431885,-119.8988141170364
60000,63.66160784288228,5,37.232711946814284,419.3934018611908,69.80974292755127,3.991168737411499,-56.931709059758845,2.834249973297119,66.95308804512024,100,-0.13923621,0.02034616470336914,-29.882362592157502,-0.020144263,62.48868370056152,-114.42773668163866
70000,54.46858569170177,6,35.11629410208815,486.1534638404846,66.73847699165344,3.861846446990967,-50.83009496966928,3.2363357543945312,63.480037212371826,100,-0.39094913,0.019362211227416992,-28.674613006137346,-0.021660548,59.128825426101685,-122.59780509083127
80000,71.37183055100944,7,47.741920844303536,548.9181571006775,62.745558738708496,3.7428841590881348,-64.31574904808298,2.894979953765869,59.82793188095093,100,-0.6153536,0.0212860107421875,-34.01081435858514,-0.012789404,55.646010398864746,-192.5462965714091
90000,113.69501483308025,8,45.065848308299806,613.2890450954437,64.34840488433838,3.745455265045166,-62.97595190125266,3.160574197769165,61.16812086105347,100,-0.26349127,0.019069910049438477,-33.162041377867425,0.00486084,56.966575384140015,-150.36462342348057
100000,68.41877989249855,9,46.995605539776655,678.8748948574066,65.55921912193298,3.771507978439331,-74.26136376354431,3.120059013366699,62.41813373565674,100,-0.12750018,0.02019786834716797,-43.97393711205266,0.003336377,58.19277477264404,-215.27829914302134
110000,76.06149411848688,10,46.57499227228103,741.9628360271454,63.06363582611084,3.6788458824157715,-89.39488713752515,2.5368120670318604,60.5049090385437,100,-0.23386778,0.020884990692138672,-53.27910129840036,0.016136475,56.387391328811646,-160.60729544561772
120000,59.22398743190461,11,54.51795468859713,803.7457749843597,61.76425385475159,3.679792881011963,-130.6375432737273,2.611076831817627,59.12991213798523,100,-0.7769404,0.02046799659729004,-76.10688432912531,0.019454395,55.00844955444336,-207.1997475168056
130000,45.744718685153344,12,51.17930753122271,867.6810669898987,63.91159510612488,3.645263433456421,-107.63972829438,2.4706199169158936,61.41803789138794,100,-0.22589111,0.019653797149658203,-63.96855693517119,0.024029614,57.33604669570923,-207.44996240300395
140000,16.297335778404552,13,45.14705906221922,930.9351570606232,63.232524156570435,3.7589471340179443,-133.0983975258463,2.593764066696167,60.617976903915405,100,-0.31634438,0.01914691925048828,-75.62084549893535,-0.003835962,56.42226600646973,-205.31812940223938
