train-NumTrajs,train-MinReturn,Itr,Time,n_timesteps,train-StdReturn,LossBefore,train-MaxReturn,LossAfter,Time-SampleProc,train-AverageDiscountedReturn,Time-Sampling,ItrTime,Time-Optimization,train-EnvExecTime,train-AverageReturn,train-PolicyExecTime
100,-194.26264055522395,0,457.9300150871277,10000,99.87997103266594,-0.015856726,171.60877218527537,-5.8193245,0.08143997192382812,-113.82441529902974,448.5492470264435,457.93000984191895,9.289038181304932,6.376516342163086,-42.15161496629221,441.54489040374756
100,97.25386006291592,1,760.2168560028076,20000,26.14761473947652,-0.002286096,204.84701913839936,-0.13007948,0.1187589168548584,300.8912583072384,298.1085560321808,302.1116318702698,3.883220911026001,5.553595304489136,164.84008423580238,292.02995109558105
100,103.24480023749238,2,967.4492580890656,30000,16.177881710951695,0.0185293,192.85549841346884,-0.40698457,0.02710890769958496,317.40771498556563,204.2681748867035,207.20041489601135,2.9036929607391357,4.793553113937378,172.4116082782509,199.03146815299988
100,128.44012092631598,3,1158.8086042404175,40000,12.115071616728684,0.011775763,183.7087185971294,-1.6778789,0.019053936004638672,304.8485682710634,188.00028014183044,191.3324511051178,3.3108439445495605,4.600561618804932,165.93762397946963,182.98801231384277
100,104.4125677406669,4,1344.0231301784515,50000,11.275001707097054,-0.0010869316,167.02168640902127,-4.501818,0.0225982666015625,258.91613380274146,180.6066439151764,185.19201111793518,4.5613720417022705,4.536862373352051,144.1943842928037,175.65645742416382
100,64.20422900271723,5,1523.6031022071838,60000,12.600106558194971,0.003136975,121.85832663423835,-9.859494,0.01609659194946289,152.7232311181233,175.49079823493958,179.5555398464203,4.047319173812866,4.583821058273315,94.28150712318288,170.49953174591064
100,-67.41750442772073,6,1702.2774839401245,70000,27.49788761867129,0.0035893554,78.59818558980575,-7.7033796,0.020983219146728516,9.453662732884787,175.5568368434906,178.65314316749573,3.074036121368408,4.675155401229858,20.738943188436902,170.47046542167664
100,-200.63106143913873,7,1888.8204441070557,80000,51.0699953919306,-0.017372523,85.0850982781148,0.32097626,0.04614973068237305,36.79332101481601,182.0243730545044,186.52001023292542,4.448173999786377,4.818399667739868,30.886030500743942,176.78450560569763
100,-93.36109830286539,8,2075.078609228134,90000,63.4178867147622,-0.015029565,126.29136271901879,-0.28085014,0.031450748443603516,55.746288210873615,183.429034948349,186.2285943031311,2.7674500942230225,4.886628150939941,39.935399370775464,178.11160326004028
100,-124.72091036834459,9,2257.6732120513916,100000,55.42393574558749,0.010502784,122.04284890095,-0.113354616,0.02124810218811035,-9.93671533279508,179.3407428264618,182.57560801506042,3.2130019664764404,4.753467082977295,9.574027606161204,174.12283897399902
100,-121.31852882091819,10,2446.645187139511,110000,45.24486979713971,-0.0022384766,113.98862097682765,-0.19524,0.021251916885375977,-38.42511261174163,186.14421916007996,188.94975113868713,2.7827258110046387,4.448509931564331,-4.7351387756607615,181.28369331359863
100,-176.65082729282145,11,2641.3509800434113,120000,46.41808281103923,0.009427124,114.67769607259622,-0.14907207,0.019457101821899414,-40.716020565232924,191.44336891174316,194.6843659877777,3.220059871673584,4.5126612186431885,-6.6008911397861585,186.47931909561157
100,-199.1889857229188,12,2848.6889441013336,130000,48.35966068360815,-0.039623767,112.68732846042006,-0.17831433,0.018847942352294922,-57.20827072261097,204.22446179389954,207.3188488483429,3.0742008686065674,4.584717273712158,-17.229407851659346,199.23297834396362
100,-122.87217260989286,13,3063.8525879383087,140000,39.79146614032686,0.015135156,108.78551865349085,0.005644583,0.02117133140563965,-73.28393562332332,211.81906509399414,215.14232182502747,3.3001861572265625,4.555734872817993,-25.35044716728001,206.80623841285706
100,-123.22945587759574,14,3286.3435502052307,150000,40.87708756611011,0.010085699,104.4287277335028,-0.041127052,0.023279190063476562,-79.49716416887206,218.7684347629547,222.46999764442444,3.677428960800171,4.6050865650177,-29.456607366919233,213.74721026420593
100,-181.15497242406028,15,3506.707412004471,160000,36.43033483078654,0.012183496,66.13059517036658,-0.61022264,0.01911187171936035,-108.25664369550813,217.23471307754517,220.34496998786926,3.0893630981445312,4.668272256851196,-43.40081412275561,212.16051149368286
100,-189.45733387874432,16,3742.227236032486,170000,44.517092609121526,0.009969604,-21.30434751864239,-4.3998103,0.05173802375793457,-227.68279884188797,232.02805399894714,235.49845814704895,3.417696952819824,5.07390022277832,-98.56845799789855,226.50414419174194
100,-120.14008040507466,17,3958.4754700660706,180000,17.760982414657487,0.0011738769,24.908298631281493,-20.195204,0.02349376678466797,74.15296721869532,213.0358510017395,216.21873497962952,3.15649676322937,4.416563272476196,8.732343985094538,208.21176028251648
100,-58.26981343339358,18,4169.866233110428,190000,25.352607162460508,0.012504639,22.73027033818763,-16.26823,0.027698993682861328,50.77472000507159,207.61352705955505,211.37190699577332,3.7302708625793457,4.509936332702637,-0.46224307900089145,202.69815635681152
100,-56.018388081263645,19,4415.116838216782,200000,25.52407617700723,0.010228821,36.54319104067586,-0.938593,0.024718761444091797,-61.6109186741515,239.96064472198486,245.22716522216797,5.240406036376953,4.641541242599487,-29.318248592150063,234.90797209739685
100,-91.65120207847693,20,4637.434581041336,210000,9.48861484014354,0.011494428,-39.29827960355309,-0.62849563,0.02720475196838379,-135.76548205103106,218.04420518875122,222.2983946800232,4.225619077682495,4.765171051025391,-49.62918957426934,212.87076377868652
100,-70.3513204298982,21,4852.290517091751,220000,5.389131003960589,-0.006141481,-38.973027482607925,-0.4040699,0.04875373840332031,-131.09858019814152,211.50587511062622,214.83735609054565,3.2584922313690186,4.756514549255371,-47.462208151376444,206.3433587551117
