train-AverageDiscountedReturn,train-MaxReturn,train-PolicyExecTime,train-NumTrajs,Time-Sampling,ItrTime,LossAfter,n_timesteps,Time-Optimization,Time-SampleProc,LossBefore,train-StdReturn,Time,train-EnvExecTime,train-AverageReturn,train-MinReturn,Itr
-163.13845473809013,136.09648903147692,165.53749871253967,100,171.4292278289795,179.59831070899963,-1.4139241,10000,8.146039962768555,0.022293806076049805,-0.016805055,64.64765127471362,179.59831404685974,5.414056062698364,-68.60589246321206,-157.68516874455423,0
320.8190714333054,202.58187994379563,161.7852976322174,100,167.69384288787842,170.752051115036,-0.79970664,20000,3.031484842300415,0.025140047073364258,-0.021596607,12.464536156834791,350.44605016708374,5.446465730667114,176.60369930491325,147.35926966081925,1
235.29040810867352,169.0693203340504,158.82871055603027,100,164.6014769077301,167.73606872558594,-0.27554667,30000,3.1139349937438965,0.019997835159301758,-0.0010371803,9.332179477246164,518.2084980010986,5.321158409118652,133.97354993587425,117.6214989610959,2
183.65610112612038,144.2243778619466,158.38323307037354,100,163.96279668807983,167.2201108932495,-0.5343155,40000,3.2361679077148438,0.019635915756225586,-0.0014741577,26.3794746056931,685.4704930782318,5.125234365463257,106.87976228004432,5.77322584267156,3
176.49159098885914,156.63864828918082,158.93189644813538,100,164.43583583831787,167.3825650215149,-0.8424793,50000,2.8923089504241943,0.053755998611450195,0.035212867,34.2568556880566,852.876188993454,5.061113119125366,101.75797278365924,-18.437159189743916,4
150.50576250173506,222.93435733792828,161.89064717292786,100,167.31663012504578,170.93510007858276,-0.96908885,60000,3.5964410305023193,0.020544052124023438,-0.002050891,54.03513320960442,1023.8327481746674,4.954423666000366,88.51268140893787,-51.35435748799595,5
228.42979485466716,222.1454553003948,159.59438252449036,100,164.93330574035645,167.66456985473633,-0.6664354,70000,2.7113840579986572,0.019491910934448242,0.000115942385,50.29249971192733,1191.521359205246,4.898524761199951,122.47563898007829,-4.387265895548258,6
275.7273954088253,193.67074775134802,170.69965744018555,100,176.4306881427765,180.042711019516,-2.3235867,80000,3.5861918926239014,0.024328947067260742,-0.0057615493,26.92217718644246,1371.5836260318756,5.2163519859313965,146.46937691717307,53.08782549815452,7
282.1503586260715,200.60064917338877,163.62227964401245,100,169.1455841064453,172.394513130188,-5.3977637,90000,3.223637819290161,0.023771047592163086,-0.008983524,33.6031499136354,1544.0010800361633,5.049513101577759,150.82682608346587,-5.589374649852722,8
210.96862030932382,188.17179959278616,146.2864089012146,100,151.56459879875183,154.33570885658264,-5.385044,100000,2.7469069957733154,0.02277684211730957,0.02683407,38.72513977512088,1698.3602492809296,4.842438697814941,116.42404087228832,-51.89216099347926,9
157.3029248176701,151.58821957455896,147.80388498306274,100,153.26638102531433,156.43691682815552,-15.4964075,110000,3.1470017433166504,0.022855043411254883,0.006107666,30.059413633784324,1854.8196370601654,4.880186080932617,90.04397130741357,7.3535480789075605,10
55.41564125744565,132.8245067651054,151.71595811843872,100,157.11752796173096,159.8098771572113,-12.02653,120000,2.6689200401306152,0.02176070213317871,0.015780762,32.152272706161206,2014.6573860645294,4.958497762680054,40.02785239407065,-20.281792234679465,11
-65.40640470231571,38.611462786125244,158.18661522865295,100,163.59765911102295,168.1200430393219,-13.480388,130000,4.503504991531372,0.01828312873840332,0.008280408,23.66647779041302,2182.8008930683136,4.973275661468506,-23.399386746373647,-102.60192669475809,12
-160.32220872994583,-9.34152035986658,167.86617517471313,100,173.23101782798767,176.24003505706787,-7.5548573,140000,2.9862520694732666,0.021371126174926758,0.011624255,30.822799598824844,2359.062977075577,4.922924757003784,-75.10161324794237,-177.83004247193364,13
-291.6335095714044,-25.861312105632244,257.6209852695465,100,263.76264810562134,268.63537311553955,-24.439816,150000,4.772426128387451,0.09873676300048828,-0.0058496553,42.19848923371667,2627.774673938751,5.607639789581299,-138.6998012878552,-192.2644511505975,14
-60.167312023377335,-7.424227392728028,478.8226099014282,100,486.0423650741577,492.6226999759674,-7.5953116,160000,6.385130882263184,0.19327402114868164,-0.019500444,1.558538184857328,3120.4281611442566,6.466892242431641,-11.829819898696508,-14.419493497324744,15
-30.19980976892394,-0.3417002604745245,338.76718378067017,100,345.31499910354614,353.5425560474396,-12.167851,170000,7.940431118011475,0.279263973236084,-0.011965608,1.7688084626094331,3474.592511177063,5.93287205696106,-3.7517122833955017,-8.5734046497574,16
-105.38739307331267,-26.13743433562831,209.00150990486145,100,214.23465085029602,218.27195596694946,0.421551,180000,4.008073806762695,0.028644084930419922,-0.0013594864,3.9685892751013383,3692.8969161510468,4.783208608627319,-32.5300421893262,-41.30236630319929,17
-121.19448562559724,-33.64733984397667,191.54489970207214,100,196.5668420791626,199.42202615737915,-0.3404918,190000,2.8288090229034424,0.024926185607910156,0.0007412796,4.0512435322816645,3892.3413529396057,4.59621262550354,-40.75550384452508,-51.17820066139069,18
-131.19122266901007,-33.78045290794289,181.76104497909546,100,186.66050100326538,189.42771816253662,-1.2240766,200000,2.7433488368988037,0.022287845611572266,0.012843631,5.728390381502725,4081.790521144867,4.483165502548218,-46.09454780355294,-58.563336022466586,19
-173.79587391188696,-54.43790391855369,173.7994828224182,100,178.68937301635742,181.42525005340576,-4.2762494,210000,2.702338218688965,0.03221392631530762,-0.012653088,7.28554822047443,4263.238252162933,4.485759496688843,-65.8417682826522,-92.53201399248174,20
-131.6499585773115,-38.101015138978475,171.88304209709167,100,177.08632683753967,179.81193900108337,-8.2879095,220000,2.6984410285949707,0.025869131088256836,0.031313483,3.4073953419894645,4443.07243514061,4.7733001708984375,-44.32734865011555,-53.11249339980366,21
