train-MaxReturn,train-MinReturn,train-AverageDiscountedReturn,ItrTime,train-NumTrajs,LossAfter,train-AverageReturn,train-StdReturn,Itr,n_timesteps,Time-Optimization,train-PolicyExecTime,train-EnvExecTime,Time,LossBefore,Time-SampleProc,Time-Sampling
115.35239344382485,-204.37297339674987,-98.78877197849857,216.7577769756317,100,-3.1420903,-41.55074529067588,80.50685306914238,0,10000,8.379563093185425,202.5337975025177,5.299260139465332,216.75760316848755,-0.0051806276,0.03577899932861328,208.3392689228058
198.1983319393319,85.60462577628402,299.5860162039221,200.0173580646515,100,-1.363515,169.25444444964106,16.906791439417876,1,20000,3.4946951866149902,191.0807511806488,4.9429850578308105,416.91686725616455,-0.006355713,0.03305411338806152,196.48766684532166
191.8591491337147,136.6470764410324,275.85961771307075,197.7464771270752,100,-3.4194634,159.9489335919822,11.536799370687952,2,30000,3.42616605758667,189.02658462524414,4.817244291305542,614.6864902973175,0.02020469,0.02562880516052246,194.29318499565125
188.60196780901467,144.23006606345618,271.6636770858906,208.2888011932373,100,-5.3495216,159.64427544979853,7.1716481452820675,3,40000,5.373749017715454,197.35057592391968,4.967596530914307,822.9979541301727,-0.009589081,0.1377711296081543,202.77561616897583
175.5197356633539,146.5076009541057,263.2976349094739,203.1682538986206,100,-8.063236,156.40948247419325,5.234186658301638,4,50000,3.36956524848938,194.40486359596252,4.924415349960327,1026.2134511470795,0.011515207,0.0218660831451416,199.77523112297058
167.0163203444695,144.18735469612395,252.57466996224034,202.4600601196289,100,-11.3522625,152.67187329466793,4.419950307135966,5,60000,2.892216920852661,194.1545717716217,4.926146984100342,1228.70076918602,0.0015075264,0.024498939514160156,199.54150986671448
163.04473528354586,141.67268823239755,244.04471337401384,208.35837602615356,100,-5.638014,149.02415068818325,4.22270245979142,6,70000,3.597090721130371,199.28447461128235,4.971495866775513,1437.0871472358704,0.02153011,0.045057058334350586,204.71459484100342
161.6279303658489,141.74543606296152,244.54779675335115,198.3241720199585,100,-2.3373153,149.1912849988895,4.699201401328411,7,80000,3.516903877258301,189.2674970626831,5.044784069061279,1635.4401080608368,0.007600296,0.02138996124267578,194.7843689918518
163.72399788851396,141.64259967363924,243.9343661517273,214.69798588752747,100,-1.2640861,148.9863316830009,4.538385852234655,8,90000,4.514359712600708,204.55841636657715,5.0161309242248535,1850.1616311073303,-0.0043777716,0.14210009574890137,210.03790998458862
166.96111889873305,141.77495448300883,249.17366176640266,207.46816301345825,100,-0.82100976,151.14177917411797,6.135082283121065,9,100000,3.6266400814056396,198.3168489933014,5.026914119720459,2057.6566269397736,0.030505624,0.021821975708007812,203.8180022239685
171.63277482124786,143.0292983336417,249.4040831885908,216.75145816802979,100,-0.6331043,151.32725484687472,5.681271882539659,10,110000,3.427785873413086,207.82148838043213,5.011401176452637,2274.431571006775,-0.0046229507,0.024659156799316406,213.29744791984558
173.86016303432103,142.0561544327242,251.2198865388549,304.34829592704773,100,-0.52120167,152.09746887914088,6.034992407613047,11,120000,5.2285168170928955,292.26790285110474,6.099691390991211,2578.8069241046906,-0.010120031,0.11612176895141602,299.0023431777954
170.97832102525342,142.65524135492785,254.33897639515322,302.41514801979065,100,-0.3953325,153.41427290913055,6.782842281252653,12,130000,4.7629828453063965,291.1337401866913,5.8255250453948975,2881.2641150951385,-0.013127451,0.04479074478149414,297.6065847873688
167.8343148008094,143.3457184460987,253.76509237850019,483.988920211792,100,-0.3046823,153.1476286001015,6.007450877248271,13,140000,7.7105090618133545,467.438499212265,6.4950807094573975,3365.2819771766663,0.00058862,0.11957311630249023,474.8286771774292
179.16583638548818,140.2985102268904,254.21763856566497,307.7638370990753,100,-0.25547042,153.38243056012848,6.742310223618023,14,150000,5.805927991867065,295.4879398345947,5.743956804275513,3673.072931289673,0.004843251,0.12522292137145996,301.83196997642517
175.6050491373122,142.62149920968113,257.8168986163861,273.4593081474304,100,-0.20300435,154.91156395997183,7.242714237607105,15,160000,4.020529270172119,263.15523314476013,5.720074892044067,3946.5557022094727,0.013064845,0.027750730514526367,269.4095799922943
172.0589305625558,141.62021826219592,260.46539637075534,238.30356121063232,100,-0.18837376,155.90438278553694,7.138635247986666,16,170000,5.408730983734131,227.16525530815125,5.212294578552246,4184.887602090836,-0.017489651,0.023358821868896484,232.86996793746948
171.78920299210435,142.99520972836737,255.2394572634663,373.9050829410553,100,-0.171195,153.87245313700495,6.907521312236513,17,180000,5.832223892211914,361.6031358242035,5.826395750045776,4558.81783914566,-0.01393262,0.07291889190673828,367.99854612350464
173.4558995969842,143.8189004578414,258.7106286037267,285.42489314079285,100,-0.11360427,155.22443337611142,6.8299725241917235,18,190000,4.124333143234253,275.52490735054016,5.2260332107543945,4844.275737285614,0.026282366,0.049803972244262695,281.2494170665741
