Time-Optimization,Time-SampleProc,Time,train-MaxReturn,Itr,train-EnvExecTime,Time-Sampling,train-PolicyExecTime,ItrTime,n_timesteps,LossBefore,train-MinReturn,train-StdReturn,train-AverageReturn,train-AverageDiscountedReturn,LossAfter,train-NumTrajs
0.4329357147216797,0.0612483024597168,7.832458019256592,21.684904732288047,0,2.4635026454925537,7.338000774383545,4.641597509384155,7.832453966140747,10000,-3.0517577e-09,-141.18180114280582,36.89894106642531,-51.00930301932372,-87.16644448037101,-1.6172669,100
0.26049375534057617,0.07428455352783203,15.580045223236084,49.439634563394804,1,2.4539618492126465,7.384023666381836,4.696458578109741,7.7190680503845215,20000,3.6621095e-08,-178.4735547327759,42.897133236478325,-40.63883556474216,-72.0647527518625,-0.16281615,100
0.3929429054260254,0.03960728645324707,23.654988527297974,76.3596195653803,2,2.525230884552002,7.62502908706665,4.858312129974365,8.057818174362183,30000,9.918213e-09,-158.13620483941972,42.14175913217891,-47.49312519518213,-80.01755743078253,-0.23659593,100
0.41374826431274414,0.04162430763244629,31.56082510948181,73.72892878081244,3,2.512836217880249,7.418123960494995,4.661337375640869,7.873760938644409,40000,-3.6621095e-08,-193.3512973240488,41.653808786508,-43.239752089074216,-71.30364368512603,-0.04897868,100
0.27685093879699707,0.04225873947143555,39.237083196640015,64.72245002781393,4,2.4562766551971436,7.332692384719849,4.6364521980285645,7.652019739151001,50000,-2.4414062e-08,-176.240755130697,47.467188209054044,-54.91711044808959,-93.61013022516916,-0.050973248,100
0.4025130271911621,0.08219552040100098,47.241846323013306,61.31065109944976,5,2.477405309677124,7.500978231430054,4.771636486053467,7.98591947555542,60000,1.525879e-08,-194.83412895804867,49.59489827264131,-60.78351685921919,-106.73510762600452,-0.069870286,100
0.41263842582702637,0.11242198944091797,55.17351198196411,75.124649054158,6,2.447634220123291,7.384460926055908,4.698892116546631,7.909778118133545,70000,-2.4414062e-08,-181.06457142175856,51.97310562924007,-52.932661306794195,-93.46247502898932,-0.06260377,100
0.40961766242980957,0.12538385391235352,62.91381025314331,85.62123526491334,7,2.4404494762420654,7.181857109069824,4.49938178062439,7.717162370681763,80000,4.577637e-09,-158.52553258200962,53.7287639905518,-51.54541464581367,-87.76545520261358,-0.14229225,100
0.33101344108581543,0.10941934585571289,70.70908164978027,65.58060876024086,8,2.454228639602661,7.329126358032227,4.6327965259552,7.769819974899292,90000,-2.4414062e-08,-165.22768226025192,47.868783000262745,-54.74467169143449,-95.88056336422049,-0.41827184,100
0.2954373359680176,0.08216166496276855,78.48754358291626,55.814754249180794,9,2.468055248260498,7.354201316833496,4.646517992019653,7.732323408126831,100000,1.1444092e-08,-189.4034646044037,54.55406520121629,-62.235190606753704,-108.6367396490054,-0.11736074,100
0.26903700828552246,0.09660720825195312,86.27451300621033,106.08473840649609,10,2.4805922508239746,7.403990983963013,4.671737909317017,7.769883632659912,110000,-1.2207031e-08,-171.94968111628404,50.894920531076856,-46.14736689291047,-81.62500986508063,-0.047426317,100
0.24661922454833984,0.06382369995117188,94.07316517829895,87.63404485977493,11,2.4907917976379395,7.4716222286224365,4.739126682281494,7.782328367233276,120000,-0.0046058744,-245.40935729443765,53.24579995720552,-43.451988949552884,-74.4284671477183,-0.05708327,100
0.28459858894348145,0.09723234176635742,101.99175643920898,95.08519793975282,12,2.480278491973877,7.518818616867065,4.799524545669556,7.9008870124816895,130000,1.449585e-08,-164.02095031012954,51.927286673775946,-32.83929192364083,-57.02020112394878,-0.06880261,100
0.2938113212585449,0.05657625198364258,109.76748323440552,112.76753865345758,13,2.4827277660369873,7.398255825042725,4.674557447433472,7.749000072479248,140000,6.1035155e-09,-130.49173590509287,45.77336911638168,-12.75187419551545,-19.070527639006468,-0.08446836,100
0.2867107391357422,0.08508944511413574,117.59110307693481,88.26751674702841,14,2.462373971939087,7.4180803298950195,4.715650796890259,7.790160894393921,150000,1.1062622e-08,-151.31695795730718,51.50491853021262,-22.9396907844978,-44.04169381539805,-0.045195766,100
0.35749316215515137,0.07506895065307617,125.33765363693237,71.24402023407188,15,2.4540679454803467,7.2936131954193115,4.59022855758667,7.726435899734497,160000,-5.340576e-09,-125.98446792532194,45.949596401856624,-8.699337608728717,-13.20557692513274,-0.11008423,100
0.486281156539917,0.09231925010681152,133.28720831871033,94.43406972749636,16,2.450446605682373,7.3522398471832275,4.661061525344849,7.931084632873535,170000,3.0517577e-09,-154.05926202983977,50.483004583858644,-11.030098111680873,-13.330093467200713,-0.23797788,100
0.5266702175140381,0.06942868232727051,141.16425442695618,120.03868069872999,17,2.4627511501312256,7.2598841190338135,4.563783407211304,7.856200695037842,180000,1.2207031e-08,-100.78243556967888,46.984334972779465,-0.46224236313799166,4.172825318284655,-0.24062492,100
0.49504590034484863,0.04215121269226074,148.97111296653748,94.81794462791541,18,2.4470248222351074,7.250445365905762,4.566113710403442,7.787878751754761,190000,1.8310548e-08,-143.92674073429785,40.42624499589976,2.951783848921144,12.789221784897085,-0.26828402,100
0.46081113815307617,0.05771636962890625,157.06634545326233,87.70832360585186,19,2.5328052043914795,7.547434091567993,4.771634101867676,8.066227436065674,200000,1.2207031e-08,-78.1766024743191,35.8844779398307,15.0361592611386,32.15260794426023,-0.52215105,100
0.41538190841674805,0.05388331413269043,164.903258562088,65.35026885791008,20,2.5105624198913574,7.34583854675293,4.587312459945679,7.815357446670532,210000,3.0517577e-09,-79.07206492487235,25.887438610357293,17.756321601615983,39.39971078074304,-2.159246,100
