train-PolicyExecTime,train-NumTrajs,LossBefore,Itr,Time-Optimization,Time-Sampling,LossAfter,Time,train-MinReturn,ItrTime,train-MaxReturn,n_timesteps,train-AverageReturn,Time-SampleProc,train-EnvExecTime,train-StdReturn,train-AverageDiscountedReturn
137.49611616134644,100,0.019329792,0,13.575927019119263,142.62798810005188,-1.4557244,156.24365186691284,-5.747907364316162,156.24364686012268,27.015103928325594,10000,9.369681263430163,0.037735939025878906,4.5321409702301025,8.045769171024213,15.315925100235848
129.3309507369995,100,0.003486792,1,7.869295120239258,134.5556561946869,-5.630839,298.90579891204834,1.6203842027165745,142.45331597328186,31.374658388714774,20000,24.242121122980706,0.02678990364074707,4.7263264656066895,4.402010837458197,41.032214881439025
129.60489630699158,100,0.006599658,2,5.390582084655762,134.3679530620575,-4.909,438.9187409877777,-5.646167145595629,139.783536195755,29.764845438372973,30000,25.46435343106314,0.02330803871154785,4.304055213928223,3.842490495945846,39.639051002973225
128.34092450141907,100,0.008431103,3,4.460097789764404,132.86215901374817,-3.3583257,576.2830038070679,21.373637187071974,137.34183192253113,30.446167273676696,40000,26.621537452360876,0.018091917037963867,4.085492372512817,1.6530692829322282,38.17248017252544
125.59260773658752,100,-0.009621936,4,4.670165061950684,130.01789808273315,-1.8080713,711.0450789928436,21.873529429537843,134.71124792099,29.732098012478506,50000,26.715601838717042,0.018579959869384766,4.002972602844238,1.6984893581084375,37.00784122161272
120.70123386383057,100,-0.002521872,5,2.8615360260009766,124.94350481033325,-1.0538981,838.9961059093475,20.412281151254007,127.93087100982666,30.975423711300138,60000,26.95898309725983,0.12433910369873047,3.8308281898498535,1.8831449702957332,37.085338416520564
121.03899192810059,100,0.010373006,6,2.7844882011413574,125.34630012512207,-0.752343,967.1717817783356,16.753406811038555,128.15439915657043,30.769159486233274,70000,26.47653920040008,0.02208113670349121,3.9037976264953613,2.2791652104722218,36.159148903859716
128.64267945289612,100,-0.002961464,7,4.369719743728638,133.18258094787598,-0.6579244,1105.167846918106,16.59233493921587,137.58591389656067,30.138417224240996,80000,26.653894244049233,0.03241229057312012,4.126781225204468,2.205587177033131,36.15268395376963
126.12123274803162,100,-0.008360475,8,3.099601984024048,130.51172304153442,-0.5774805,1238.9545629024506,11.845780728604241,133.7571017742157,30.138772755969477,90000,26.443550871993867,0.14516615867614746,3.9784748554229736,3.0115393485555098,36.14189462550799
121.17636227607727,100,-0.00022260437,9,2.8056938648223877,125.48115015029907,-0.5121172,1367.2829129695892,9.760676790226915,128.30759000778198,31.059031904137793,100000,26.680401785471194,0.02002716064453125,3.9001338481903076,2.404548435681651,36.47986426991904
120.41971516609192,100,-0.005600952,10,3.0230109691619873,124.6520311832428,-0.4507394,1494.9988658428192,10.440378390936269,127.69470191001892,32.27746965347571,110000,26.780052174696344,0.019360065460205078,3.830754041671753,2.817217098936772,36.35367213742115
121.6902482509613,100,0.010431278,11,2.988089084625244,125.97052383422852,-0.41101244,1623.998587846756,21.63169628959974,128.97952580451965,32.53602413583021,120000,27.099773089312617,0.02037811279296875,3.8760595321655273,1.6660153280234982,36.81633125640763
102.59451413154602,100,-0.003796048,12,2.233333110809326,106.99179887771606,-0.40454286,1733.2640130519867,19.586099415629516,109.24513483047485,29.93471863085212,130000,27.210496646229288,0.018625974655151367,3.9769022464752197,1.563322976080153,36.88844085615406
88.68332147598267,100,0.0016728546,13,2.4780149459838867,93.03689694404602,-0.3740747,1828.822010755539,17.1276784579757,95.53541207313538,30.14301375141618,140000,27.12040937590912,0.019047975540161133,3.933202028274536,1.9050856409096495,36.6059199733434
87.67259502410889,100,0.011149353,14,2.3689332008361816,91.94601082801819,-0.3503903,1923.1774768829346,20.89513972140754,94.33437395095825,29.753513832129105,150000,27.152338967236783,0.01884293556213379,3.863863706588745,1.4807249514158805,36.743868507014
87.30960822105408,100,-0.0034944932,15,2.1924211978912354,91.72636795043945,-0.33715394,2017.1382746696472,17.783566714939564,93.93967485427856,31.10820158569791,160000,27.19191048051482,0.01944708824157715,4.001636505126953,1.7616983040063074,36.96701032102189
90.19489669799805,100,0.007266696,16,2.388629913330078,94.5759642124176,-0.2968883,2114.152741909027,21.00106887460574,96.99356698989868,30.611880887301954,170000,27.22969608293184,0.023256778717041016,3.966043472290039,1.7914465588828756,37.15567669830645
88.97980499267578,100,-0.0029940044,17,2.416684627532959,93.28292989730835,-0.2692595,2209.894332885742,15.15466709084862,95.72058010101318,30.40766805020499,180000,26.999843734631654,0.019575119018554688,3.8891994953155518,2.0361337138659517,36.60675291330841
88.2550220489502,100,0.001049186,18,2.5401391983032227,92.56718897819519,-0.25028124,2305.041745901108,24.326520505801255,95.1270158290863,30.64379234503179,190000,27.216828079187458,0.019273996353149414,3.9001739025115967,1.2010508516809348,36.83868829046029
88.69738149642944,100,0.001926487,19,2.4322617053985596,93.05266833305359,-0.24172959,2400.569262742996,15.90616492398047,95.50709199905396,31.41134001943141,200000,27.020733713776075,0.020782947540283203,3.938591480255127,1.703524111800087,36.60680953246307
86.80962634086609,100,0.00046166533,20,2.5087621212005615,91.11610698699951,-0.23113272,2494.236090898514,8.538573389028134,93.64576482772827,29.964176349367527,210000,26.91663544604487,0.019493818283081055,3.8942208290100098,2.6682757749617396,36.29907383221424
88.28152918815613,100,0.024033533,21,3.3199360370635986,92.6296169757843,-0.20113064,2590.2289958000183,21.7270705607788,95.9741759300232,31.31412062744475,220000,27.234028856363793,0.023312091827392578,3.9358270168304443,1.45888229237734,36.82467755496704
