train-AverageReturn,Time,train-EnvExecTime,train-AverageDiscountedReturn,Time-Sampling,ItrTime,Time-SampleProc,LossBefore,Time-Optimization,train-MinReturn,LossAfter,train-StdReturn,n_timesteps,train-NumTrajs,Itr,train-PolicyExecTime,train-MaxReturn
-44.47189666171355,50.504558086395264,5.692279100418091,-118.4620152023597,42.361186027526855,50.5045530796051,0.03850889205932617,-0.01782811,8.104161024093628,-210.59924736910727,-5.451885,100.46746915312673,10000,100,0,36.12278413772583,172.23973652313717
163.4459077061651,195.5566029548645,5.6747941970825195,297.3459663319939,139.96730494499207,144.95444297790527,0.04219317436218262,-0.001266333,4.943389892578125,76.72652451313029,-0.14408933,26.145422452449214,20000,100,1,133.7343351840973,208.63390471554038
175.3646207380385,354.95295214653015,5.320171117782593,323.1787838168794,156.45854496955872,159.3365249633789,0.023822307586669922,0.020480199,2.8533949851989746,123.45187177842156,-0.37092504,14.056240218494047,30000,100,2,150.61632227897644,192.60008033115113
163.02899465880472,502.5805609226227,5.0811522006988525,299.2321499620174,144.04786014556885,147.52276015281677,0.07666993141174316,0.012531237,3.396379232406616,125.77723447141614,-1.4427904,13.48395000813813,40000,100,3,138.49980354309082,184.67326863792883
150.48737680208987,651.4904148578644,4.8175578117370605,272.95773682202247,144.4081268310547,148.87105679512024,0.03017115592956543,0.006536542,4.426944017410278,90.86103184275389,-4.266246,12.116129177993841,50000,100,4,139.1239845752716,172.93046606281794
124.09995540814785,801.4550731182098,5.089715242385864,217.25826351326032,146.73829197883606,149.93797898292542,0.10021305084228516,0.0031597016,3.0980679988861084,85.71056969450655,-8.828979,13.003616637247303,60000,100,5,141.1645565032959,149.00965910850869
92.91707749976274,955.9913370609283,4.913135051727295,148.50189427621072,151.7986717224121,154.51651883125305,0.02891707420349121,0.00031817626,2.687541961669922,57.849565404744496,-25.661198,10.554054568541629,70000,100,6,146.42252850532532,113.45948308204456
90.72996502832918,1106.0883679389954,5.1266584396362305,154.37292029825298,146.50424098968506,150.0728189945221,0.026781320571899414,-0.010332641,3.5139520168304443,-17.30046283099402,0.14984716,36.03109114558647,80000,100,7,140.92644953727722,124.02452335231817
47.71647043810857,1258.6847450733185,4.933092355728149,59.342558918759636,149.14638900756836,152.57318711280823,0.022570133209228516,0.017885987,3.4017698764801025,-154.4432586916695,-0.42462978,66.36860551094941,90000,100,8,143.7186257839203,128.48140701598024
8.31587855497268,1414.1661660671234,4.991379261016846,-18.124511490412896,152.74754905700684,155.46065092086792,0.021795988082885742,-0.008023205,2.689950942993164,-113.10565177961624,-0.28757584,62.25003635410576,100000,100,9,147.25522089004517,126.46708007270321
-21.377427232655126,1568.6605460643768,4.9700775146484375,-87.07852226395791,151.65048122406006,154.47351694107056,0.023661136627197266,8.6669925e-06,2.797999143600464,-116.95008833041557,-0.7095182,56.78331894201192,110000,100,10,146.20988702774048,126.30868736942303
-21.808854528840733,1718.2615611553192,5.031317949295044,-69.20910909237809,145.9594430923462,149.57832407951355,0.02357769012451172,-0.005998578,3.593897819519043,-74.24082269097073,-2.2112348,26.37496196803293,120000,100,11,140.47123432159424,45.46790105532824
-124.34343249553102,1873.5349729061127,4.730567932128906,-269.65550374612206,151.9137670993805,155.25083303451538,0.07823491096496582,-0.024293598,3.2583041191101074,-233.376944734575,-4.42493,42.503469603631245,130000,100,12,146.67145466804504,36.550559433552706
-54.293819601975876,2032.0532848834991,4.813783168792725,-86.84955147881999,154.97250080108643,158.49615907669067,0.23020601272583008,0.011204834,3.2921650409698486,-82.55357047997562,-8.4018545,16.191285595363517,140000,100,13,149.71094465255737,-19.604725491282842
-23.08807458556589,2190.4983279705048,4.849443435668945,-17.425208667643304,154.2724962234497,158.41921710968018,0.022138118743896484,-0.008480994,4.123147010803223,-61.61714501144126,-3.348497,26.535697347138186,150000,100,14,148.94625878334045,98.80942936640415
-46.9789908135148,2345.7214760780334,4.958683967590332,-129.99277843013724,151.23086094856262,155.20139074325562,0.018166065216064453,0.0076798415,3.950640916824341,-52.8929665154546,-0.49177217,2.938498450900022,160000,100,15,145.82002925872803,-39.764537364566905
-46.92368761584994,2550.300493001938,5.7143495082855225,-129.91816408367845,197.42743396759033,204.55577611923218,0.09960389137268066,0.013814857,6.96524715423584,-54.48304136006418,-0.33639726,3.36579572128527,170000,100,16,191.18783116340637,-39.128666268674905
-47.136717233382626,2781.746137857437,7.024490833282471,-130.41875852879136,225.39560294151306,231.41866374015808,0.12072396278381348,-0.000515416,5.901535987854004,-53.14238757214014,-0.21233764,2.835115912629191,180000,100,17,217.68142223358154,-39.951312020276795
-46.95283278488703,2980.1042540073395,6.113656997680664,-129.985593651602,193.4995241165161,198.32768893241882,0.11936402320861816,0.031075677,4.708101749420166,-52.65432194625487,-0.17063975,2.672177677916453,190000,100,18,186.83945155143738,-38.943259808624795
-46.89906053945758,3260.0722980499268,6.934105157852173,-129.82936322780574,271.88055181503296,279.94134187698364,0.06810307502746582,0.0024754852,7.770698070526123,-54.59062734068036,-0.17671901,3.0196225322729546,200000,100,19,264.1497859954834,-39.37978414764113
-46.67905359067283,3589.862296104431,7.4448511600494385,-129.40472219616612,324.6783151626587,329.75394082069397,0.048569679260253906,0.009135809,5.025949001312256,-53.78215002322109,-0.16131443,3.2838014279184904,210000,100,20,316.5192279815674,-39.24212137869953
-47.42467690703982,3799.9762670993805,6.141227960586548,-131.03045887716627,205.31142592430115,210.0852930545807,0.02548384666442871,-0.0037983796,4.745302200317383,-53.69011010664238,-0.17422119,2.881617254263361,220000,100,21,198.4925947189331,-39.438257084035314
