train-AverageDiscountedReturn,train-MaxReturn,Time-Sampling,Time-SampleProc,train-PolicyExecTime,n_timesteps,Itr,LossBefore,ItrTime,Time-Optimization,train-EnvExecTime,train-MinReturn,train-NumTrajs,LossAfter,train-AverageReturn,train-StdReturn,Time
-3.2609810236420556,9.682886423137873,144.279639005661,0.07990407943725586,139.18717861175537,10000,0,-0.0036967285,158.32064700126648,13.960393905639648,4.574976205825806,-10.740292519128278,100,-1.1106964,-2.586615292687025,4.0394619762004655,158.32065200805664
-0.529438731524689,6.6178134469457515,135.08451104164124,0.050176143646240234,130.1474940776825,20000,1,0.0036783142,141.49630904197693,6.360229969024658,4.420038223266602,-6.916276449813904,100,-1.9761125,-0.662815807163145,2.1925392195093636,300.10051798820496
-1.997288756034954,3.276956774952874,130.02042269706726,0.043685197830200195,125.6355493068695,30000,2,-0.0042502685,135.15407586097717,5.088181018829346,3.9362854957580566,-11.245451005157046,100,-0.55924195,-1.697307115861334,2.720191807314156,435.27914810180664
-5.160019940239547,8.189005309882376,133.85161209106445,0.019250869750976562,129.46463871002197,40000,3,0.0074767824,137.60207629203796,3.7283668518066406,3.9280972480773926,-14.46219757676154,100,-0.31680468,-3.8224898930888322,4.963660529748188,572.9029231071472
-10.107647946800586,8.63476991317999,130.64811491966248,0.01999807357788086,126.25990867614746,50000,4,0.0013865418,134.3961968421936,3.726663112640381,3.956953287124634,-15.730230712821847,100,-0.2808561,-6.895544764862787,5.684405215019881,707.319662809372
-5.963724019269891,6.416648122271754,125.29227495193481,0.020781993865966797,121.15829563140869,60000,5,0.007961792,128.33126282691956,3.0177338123321533,3.703240394592285,-16.021777250601577,100,0.0007291748,-4.032778896891363,5.192721785738185,835.6710889339447
-5.955101085148925,9.580398259717196,124.66504788398743,0.021392107009887695,120.58193802833557,70000,6,-0.0039414736,127.42644214630127,2.7387609481811523,3.664884567260742,-14.3736015685127,100,-0.034946702,-4.164848925471074,5.470150502209273,963.1219856739044
-8.732559551175125,5.574091773787222,130.90499091148376,0.023302078247070312,126.71539831161499,80000,7,-0.008155884,134.80437874794006,3.875035047531128,3.7781035900115967,-15.69273611285374,100,-0.01335105,-5.655382045147394,5.549724356055626,1097.9478528499603
-6.5584920095055,2.697243164878222,130.45534896850586,0.020895957946777344,126.10604333877563,90000,8,-0.0024137085,133.24379515647888,2.7660579681396484,3.925107002258301,-15.899495374663204,100,-0.04303209,-4.4212833644806215,5.283726183196786,1231.2222709655762
0.9055060082567467,2.6557435528533833,126.44593596458435,0.020828962326049805,122.35323452949524,100000,9,-0.0036900695,129.62344980239868,3.1557438373565674,3.6847522258758545,-7.07197443365509,100,-0.008106598,-0.4186025126419789,1.8384524285032335,1360.8697609901428
1.4496199297614631,4.256273000720571,123.50765013694763,0.02014780044555664,119.56876850128174,110000,10,0.006316333,126.44114804267883,2.913029909133911,3.5342984199523926,-5.972006705115356,100,-0.001146289,-0.24388361686729168,1.5386613567235259,1487.3335728645325
2.6649634348017424,3.321126931156819,125.47624969482422,0.01675701141357422,121.51143264770508,120000,11,-0.0050183106,128.89506077766418,3.401510715484619,3.557036876678467,-3.112647984053006,100,-0.054612353,0.22203702168944658,1.2983722552291186,1616.248769044876
2.7690325650171452,7.953288102423272,108.30519819259644,0.017103910446166992,104.14161777496338,130000,12,-0.008793786,110.72538590431213,2.401519775390625,3.7377772331237793,-12.067715765168133,100,-0.05150498,0.2519655367810741,1.9522231443704754,1726.995455980301
2.874134279697265,5.466346285325423,91.69925498962402,0.020606040954589844,87.62255620956421,140000,13,-0.008843612,94.76198506355286,3.040799617767334,3.6492433547973633,-8.79952999315803,100,-0.07481271,0.3736587276395094,1.6487816347907471,1821.7786848545074
3.9205114906295573,4.224635464078352,90.9441306591034,0.019704103469848633,86.85963082313538,150000,14,0.0016876648,93.82719087600708,2.861867904663086,3.666182041168213,-12.030662916995714,100,-0.11331992,0.7497683427419595,1.7404188180877354,1915.628301858902
4.2215625926797475,4.0546612365556,89.20218801498413,0.054670095443725586,85.17098236083984,160000,15,0.0067773988,92.9915030002594,3.7339911460876465,3.6104507446289062,-3.6283293355895405,100,-0.17460327,0.9110249979002566,1.222332544976743,2008.6423649787903
4.529400326642795,4.662177010024543,92.67617607116699,0.019053936004638672,88.58971977233887,170000,16,-0.0025557054,94.75260210037231,2.055940866470337,3.6535701751708984,-5.384062566406278,100,-0.29571426,1.0975124542127153,1.4372754515939503,2103.418067932129
6.403522407225262,13.566032276421527,91.34116196632385,0.01565694808959961,87.29465770721436,180000,17,0.027722338,94.82125401496887,3.4630749225616455,3.6196093559265137,-1.0353944906469765,100,-0.2498157,1.8368638274625504,1.6922792979682117,2198.3044970035553
6.377274625120595,4.06384992210147,93.05982184410095,0.021279096603393555,88.99585604667664,190000,18,-0.004717865,95.3107841014862,2.228300094604492,3.645850419998169,-8.631305940641075,100,-0.32455495,1.8476065904334447,1.48088867932236,2293.6348559856415
5.460465761178435,6.436839547137807,91.41616725921631,0.01910400390625,87.30247402191162,200000,19,0.024334973,93.77637505531311,2.3397040367126465,3.690814971923828,-8.388229537550913,100,-0.29741368,1.5807065314117101,1.8502817254422377,2387.430713891983
5.712821855769238,5.334842842930777,91.18948101997375,0.01947808265686035,87.12651515007019,210000,20,-0.002611145,93.4460711479187,2.2355990409851074,3.639662742614746,-7.06108095776845,100,-0.3676234,1.7738745942732321,1.7148983044938666,2480.902396917343
