train-EnvExecTime,train-AverageReturn,Time-Optimization,LossBefore,Time-SampleProc,Itr,train-NumTrajs,Time-Sampling,Time,LossAfter,train-PolicyExecTime,ItrTime,train-AverageDiscountedReturn,train-MaxReturn,train-MinReturn,train-StdReturn,n_timesteps
4.906901836395264,-29.65114210897801,5.8699188232421875,0.001273059,0.028001785278320312,0,100,44.11412501335144,50.44558000564575,-0.4767476,38.58264183998108,50.44557523727417,-49.32313044255821,39.34953636788786,-103.05378806486672,31.82875280488353,10000
4.749614000320435,-24.30781138019708,4.779331207275391,0.018992791,0.1387348175048828,1,100,43.878381967544556,99.64167308807373,-0.2829562,38.57912635803223,49.0694580078125,-40.21814650116595,49.02229080638604,-134.97477670680968,38.70126329198414,20000
4.40515398979187,-17.432496899758256,3.9283878803253174,0.029090088,0.04736614227294922,2,100,41.752357006073,145.40097904205322,-0.16363326,36.80265188217163,45.72854685783386,-27.57427592052536,79.23044289872554,-121.74698687725483,44.5675484724614,30000
4.222913980484009,-15.862340581348704,2.2991950511932373,-0.030814856,0.020843982696533203,3,100,37.28323578834534,185.02981090545654,-0.15985209,32.595055103302,39.60380697250366,-24.021839708551106,107.94391080697693,-144.7509345959945,48.76267842123778,40000
4.27807092666626,-21.19091510780902,2.1901261806488037,0.014756738,0.022823095321655273,4,100,37.09300923347473,224.3592460155487,-0.12697247,32.320287466049194,39.306721925735474,-34.02721825460692,104.68013672668059,-133.3607741124577,49.895982319428875,50000
4.145712375640869,-20.931460923261636,2.1347999572753906,0.00855376,0.021692752838134766,5,100,36.310641050338745,262.85078501701355,-0.057809155,31.698349714279175,38.46843123435974,-38.185165595626785,84.87995082614084,-166.18861436474762,48.53167436709954,60000
4.127187252044678,-18.05122485131516,2.3703958988189697,-0.0044813356,0.022500991821289062,6,100,37.69413614273071,302.9601180553436,-0.14445342,33.096375942230225,40.088042974472046,-34.287423131585406,106.85467107945615,-143.1045147264299,44.72106307128164,70000
4.159768104553223,-15.488753143366793,2.188822031021118,0.0077354736,0.020798921585083008,7,100,36.87479615211487,342.06962513923645,-0.20411357,32.24515342712402,39.08493733406067,-26.359967006173992,135.08652887287087,-116.1070658215603,46.156038918627004,80000
4.0944178104400635,-13.243161823944263,2.204322099685669,0.0024460938,0.024844884872436523,8,100,36.292973041534424,380.6156361103058,-0.28619638,31.716865301132202,38.52286219596863,-22.729989045478202,120.02251425855043,-184.50136125692072,52.607568170019015,90000
4.237361192703247,-19.476251532159825,1.8607177734375,-0.029184766,0.021814823150634766,9,100,45.16656684875488,427.68701791763306,-0.15269971,40.454195499420166,47.05053114891052,-35.00365382750836,134.28857447688824,-177.97139100642238,55.905443062945,100000
3.765591859817505,-16.840015058711273,1.8183631896972656,0.013813122,0.0204317569732666,10,100,25.942790746688843,455.4913558959961,-0.13620836,21.734976053237915,27.782033920288086,-26.492531664650055,151.3526248192336,-126.4833902439623,48.686500999502975,110000
3.7187583446502686,-20.9712974047821,1.5349769592285156,-0.00841311,0.020855188369750977,11,100,25.037551164627075,482.1244201660156,-0.1642154,20.894203901290894,26.593777894973755,-34.249971041868115,103.1253427203862,-162.64892650187164,47.370958528467945,120000
3.909592866897583,-14.411405959487563,1.6370272636413574,0.017558422,0.020512104034423828,12,100,29.13092613220215,512.935898065567,-0.10106374,24.764744520187378,30.790072917938232,-23.643688009895946,107.61703635637022,-174.23873893679243,52.35674186638814,130000
3.6608729362487793,-28.601926784061124,1.6561658382415771,0.013718628,0.023308992385864258,13,100,24.974479913711548,539.6122810840607,-0.08519817,20.88651394844055,26.654383182525635,-48.780138065431494,47.39393898721814,-132.17548489512149,41.37364978571693,140000
3.6273398399353027,-28.264701567298985,1.4955041408538818,0.024230614,0.019984722137451172,14,100,24.77471399307251,565.9234461784363,-0.09854219,20.727481842041016,26.29057216644287,-46.6693168780863,96.56624834929806,-217.77065232715842,49.54933819291529,150000
3.668797254562378,-28.243850028925728,1.5924677848815918,0.012792847,0.020485877990722656,15,100,25.018998861312866,592.5769400596619,-0.082304075,20.924828052520752,26.6322979927063,-49.940737253879135,108.3727582073563,-171.45505804593094,46.75531204078464,160000
3.6451923847198486,-35.21047027602711,1.638077974319458,-0.0010583496,0.020348787307739258,16,100,25.16431713104248,619.4226722717285,-0.1006668,21.071263313293457,26.823111057281494,-60.33575406260245,131.05417099939623,-146.26245335645578,50.64208032840679,170000
3.648972511291504,-33.57831238910677,1.6615338325500488,0.03237246,0.019938945770263672,17,100,25.064504146575928,646.1919419765472,-0.20366743,20.97959017753601,26.747443914413452,-54.585011599809896,58.75079547907151,-147.98982699361147,44.00699707672837,180000
3.6079277992248535,-27.189417502656386,1.4964821338653564,-0.004906714,0.018715858459472656,18,100,24.732857942581177,672.4643311500549,-0.15375593,20.706498622894287,26.251216173171997,-44.837384809172015,62.31052697695651,-117.14420249856668,39.68639057793426,190000
3.672652006149292,-25.82867708488668,2.5599915981292725,-0.038396068,0.019162893295288086,19,100,25.40675687789917,700.4742729663849,-0.20588481,21.31029486656189,27.988068103790283,-44.06609508160921,88.01245829419965,-133.03330950858523,42.0940209682342,200000
3.7088851928710938,-14.569908975466495,1.6502189636230469,-0.03395426,0.021677017211914062,20,100,25.80213189125061,727.9740359783173,-0.18834318,21.661248683929443,27.477361917495728,-23.806463629141973,80.9559539078645,-131.6344624219664,42.588594122168196,210000
