Itr,ItrTime,train-MinReturn,train-EnvExecTime,train-StdReturn,LossBefore,Time-SampleProc,Time-Sampling,train-AverageDiscountedReturn,train-AverageReturn,train-PolicyExecTime,train-MaxReturn,n_timesteps,LossAfter,train-NumTrajs,Time,Time-Optimization
0,104.27135682106018,-8.144497695578096,4.2125396728515625,7.79265892123717,0.01763805,0.019996166229248047,99.51797604560852,16.222929382472316,9.781630981960099,94.83828353881836,28.911907736018062,10000,-1.5112956,100,104.27136707305908,4.731284856796265
1,102.07258200645447,13.149561158439841,4.213284969329834,3.4779603317209324,0.008949535,0.021445751190185547,99.84619903564453,39.224855531527396,25.03803914103949,95.16541385650635,30.80937463252873,20000,-5.997039,100,206.64325785636902,2.2034659385681152
2,108.1047956943512,17.24573815017992,4.5610191822052,2.7827989242130915,0.004952997,0.030183792114257812,105.83933091163635,37.107897731004385,25.31916056263849,100.77510333061218,29.73391038787188,30000,-5.0670314,100,314.770210981369,2.2344541549682617
3,98.85996103286743,15.778261589927233,4.312494277954102,2.4669098120499764,0.0032098603,0.027906179428100586,96.58035516738892,36.78589897621884,25.81660670647009,91.78900647163391,29.980165353222134,40000,-3.4017422,100,413.6599519252777,2.246161937713623
4,98.36432790756226,0.34822868979029736,4.2740278244018555,3.546693708015028,-0.01523689,0.020254135131835938,95.91190099716187,36.29137998568233,25.880671379490824,91.15563750267029,30.594549362886912,50000,-1.8110842,100,512.0459821224213,2.4305951595306396
5,94.9602780342102,4.426350546825331,4.367923974990845,3.656913429172668,0.0016001831,0.0206449031829834,92.7487530708313,36.663428698690694,26.35906498239586,87.90245366096497,30.56283430532825,60000,-1.0093777,100,607.0281150341034,2.189383029937744
6,94.19901823997498,1.807046230420403,4.264340162277222,3.9674806135510168,0.00248067,0.020170927047729492,91.96826577186584,35.52032163440341,26.096571251412314,87.22835159301758,31.84802795129736,70000,-0.6734594,100,701.2486300468445,2.2092278003692627
7,92.19857406616211,5.183965845367178,4.325475215911865,2.882932352167687,-0.0015663955,0.01990199089050293,90.04916906356812,36.24690762876756,26.680905267417973,85.2477376461029,30.41519764362706,80000,-0.53096515,100,793.4779479503632,2.127934217453003
8,90.94571590423584,20.212371734291573,4.4793477058410645,1.712590479816525,-0.0052726166,0.020850181579589844,88.7898781299591,36.358241184163894,26.78449595322122,83.84406042098999,29.939600940947557,90000,-0.438562,100,884.4543099403381,2.1334121227264404
9,92.77943301200867,16.554222791503722,4.450362205505371,2.0005605866437204,0.0011323951,0.024788856506347656,90.68024277687073,36.32541366890402,26.816310068381473,85.75350642204285,30.581649753086136,100000,-0.39358175,100,977.2559111118317,2.072732925415039
10,88.49366998672485,22.078210288043675,4.248920917510986,1.5259316331905268,-0.004501871,0.0207979679107666,86.33878517150879,36.507526790332555,27.173014752911403,81.6150689125061,31.885296020468346,110000,-0.38025963,100,1065.774333000183,2.1336991786956787
11,87.591717004776,19.591441700625246,4.258429527282715,1.8661447860798208,0.008958772,0.019855022430419922,85.52056789398193,36.800327394597005,26.86949090982431,80.79210376739502,30.063456179009084,120000,-0.35884556,100,1153.3899750709534,2.0489890575408936
12,86.60910701751709,7.915747643969503,4.251385450363159,2.468884843172169,-0.007474328,0.02042102813720703,84.47782492637634,36.07399611704902,26.68914179751883,79.7509777545929,29.880075825578206,130000,-0.36752555,100,1240.020262002945,2.1088931560516357
13,84.39315509796143,15.469518056740037,4.242641925811768,1.9955282367692095,0.00025171204,0.02681708335876465,82.28515791893005,36.3245451002356,27.00500367814961,77.5747549533844,30.54655394648886,140000,-0.3474868,100,1324.4351570606232,2.079742908477783
14,90.1522707939148,-3.2602887381571883,4.338420867919922,3.302013195852522,0.0063622408,0.02445816993713379,87.86724019050598,36.37050070086131,26.99245932364665,83.03080582618713,29.789811555104357,150000,-0.34218198,100,1414.6091878414154,2.2575318813323975
15,87.25494813919067,14.472149289545467,4.297457695007324,1.9724669717113965,-0.0035784072,0.020537137985229492,84.99668502807617,36.713334490437944,27.244173438724182,80.21421837806702,30.276103618255647,160000,-0.35455918,100,1501.8934931755066,2.2373239994049072
16,89.08423614501953,15.3824833209526,4.283517360687256,1.741991273557088,0.007509823,0.020190954208374023,86.9376893043518,36.50713675447656,26.988873930998608,82.18193340301514,30.724058054617476,170000,-0.32811585,100,1591.0007450580597,2.1248860359191895
17,95.3047981262207,11.564176989596257,4.3798723220825195,2.5172434558811863,0.0011162629,0.0206601619720459,93.19899606704712,35.86381484320512,26.59336221964473,88.32634830474854,29.374947115509382,180000,-0.2945125,100,1686.3271210193634,2.0836973190307617
18,96.64712023735046,12.027626701816784,4.314263343811035,2.0014067751927325,0.0018639961,0.020380258560180664,94.48970127105713,36.85026615858939,27.27046873844412,89.69983267784119,30.031485875173804,190000,-0.2863307,100,1782.9966180324554,2.1355631351470947
19,100.22812104225159,12.632356125581552,4.424914360046387,2.3212526282913695,0.0008145401,0.020962953567504883,97.84668207168579,36.27706602538239,26.627850226616395,92.93772459030151,29.248447901281562,200000,-0.28791156,100,1883.247899055481,2.343362808227539
20,108.05243396759033,15.548289234840471,4.313188314437866,1.674726101250393,0.004799721,0.03301811218261719,103.2849977016449,36.95915045266643,27.244017626824498,98.49519181251526,29.442209397485335,210000,-0.29610807,100,1991.3227438926697,4.732712984085083
