train-AverageReturn,LossAfter,train-MinReturn,train-MaxReturn,LossBefore,Time-Optimization,train-EnvExecTime,train-NumTrajs,n_timesteps,Time-Sampling,Time,Itr,ItrTime,train-AverageDiscountedReturn,train-StdReturn,Time-SampleProc,train-PolicyExecTime
-43.62562413277267,-3.3561735,-205.87952927770607,129.4605205106406,-0.008633789,7.904368877410889,5.914251327514648,100,10000,42.30298709869385,50.25909090042114,0,50.2590811252594,-104.56708698440507,81.8925520148882,0.05095505714416504,35.87903881072998
168.12469931496503,-1.0294094,73.93908254201239,201.31649618596342,-0.008075851,6.9849770069122314,5.953141450881958,100,20000,134.99411797523499,192.45848202705383,1,142.04240202903748,297.2685311380872,18.309960530139364,0.0627598762512207,128.53699040412903
162.8801168549176,-2.94985,130.6931745404438,192.344255996268,0.020171473,4.723489046096802,5.066199779510498,100,30000,153.9948480129242,351.27393889427185,2,158.74305415153503,280.9672725297315,8.824783982709327,0.024336814880371094,148.44606256484985
155.0353949751943,-5.5678506,137.84004093887407,176.97149650401408,-0.010436505,4.827337980270386,4.8485260009765625,100,40000,140.0211842060089,496.1744258403778,3,144.87954187393188,262.1637171248817,7.240581815196361,0.030410051345825195,134.74884223937988
151.37793857709534,-4.1563096,138.7033392742855,173.43306884161564,0.010416539,4.796038866043091,4.799160003662109,100,50000,138.4193890094757,639.4596428871155,4,143.26551604270935,253.8688052921877,5.818896715347714,0.0480191707611084,133.19817805290222
146.11142545963207,-2.3305545,135.54207640580591,166.70633983728823,0.0025077392,2.771503210067749,5.018667936325073,100,60000,146.98376488685608,789.2629787921906,5,149.77971577644348,243.09617621578371,4.495069130041498,0.023028135299682617,141.46874928474426
120.33976207017578,-2.757099,104.88338016122275,129.79023061029662,0.023755612,3.8396780490875244,4.912520885467529,100,70000,147.12566804885864,940.2829928398132,6,150.98847794532776,186.39990205266912,4.5980290260776355,0.021651029586791992,141.77440977096558
69.19920991580256,-2.3160772,46.34873683499566,85.96444190926557,0.018298365,3.9679689407348633,4.939587116241455,100,80000,147.3926568031311,1091.7230899333954,7,151.38518619537354,81.12911806730519,8.799736723206589,0.021615982055664062,142.0403447151184
56.38747629029029,-2.1975622,23.784886219937178,122.69353359128016,0.00776517,6.286578893661499,4.939298868179321,100,90000,143.540363073349,1241.5872247219086,8,149.84512782096863,55.12811873491912,16.01109594659521,0.01688981056213379,138.16823363304138
54.50466569772254,-1.2964675,8.333469885572057,119.83364879564331,0.023118561,4.381979942321777,5.079960584640503,100,100000,150.3336958885193,1396.351718902588,9,154.7449951171875,52.02255812865374,19.500671306159152,0.02129530906677246,144.8263397216797
62.89488260601047,-1.002739,23.802947069082588,91.5838072566018,-0.00980044,3.2307519912719727,5.070047378540039,100,110000,149.9684841632843,1549.5934329032898,10,153.22232294082642,73.36994951021275,12.93170171879857,0.021820068359375,144.44096779823303
67.40568105825346,-0.88912225,38.54125934708444,93.40788211979424,-0.002418695,3.4095659255981445,5.171071290969849,100,120000,171.64291310310364,1724.7000529766083,11,175.08603405952454,85.11734393720735,8.55325337319774,0.02821803092956543,165.98510098457336
69.06661740304122,-0.77683145,23.237815133348377,99.06879547513954,-0.0201187,4.687177896499634,5.165202856063843,100,130000,158.2071340084076,1887.6976997852325,12,162.9678511619568,88.91484873355705,12.832514546257071,0.07220578193664551,152.60186171531677
66.88706067211122,-0.7104092,31.582525243357168,93.75383393490921,0.011792084,3.6176347732543945,5.12233829498291,100,140000,155.3560938835144,2046.7144708633423,13,158.99506521224976,84.28899225513149,10.625689578451214,0.019875764846801758,149.8157753944397
67.8082808494937,-0.66459805,35.40811344406151,104.96414634389528,0.0064727296,3.9414241313934326,4.8599324226379395,100,150000,154.30117082595825,2205.023759841919,14,158.28654098510742,86.08958530316717,12.288681235638613,0.019201993942260742,149.00846362113953
66.96489946927173,-0.62052757,31.143584405458718,104.40470126642094,0.015149554,3.4449188709259033,4.847822666168213,100,160000,149.07920789718628,2357.600147008896,15,152.55365705490112,84.17523677428997,12.732455146606364,0.028217077255249023,143.80683159828186
67.7525541393166,-0.58486193,24.04697834352572,101.25644450449542,-0.018172668,4.890993118286133,5.9802796840667725,100,170000,199.6250021457672,2562.293198823929,16,204.6769540309906,85.71308707183375,11.84288757814868,0.16006875038146973,193.17416191101074
69.87878409336489,-0.5963874,35.05263182257905,100.22686999360133,-0.010960034,4.0165629386901855,7.449062824249268,100,180000,221.4289629459381,2787.856001138687,17,225.5026650428772,90.64154114561285,10.364304950372347,0.05571269989013672,213.35088992118835
66.87134832215513,-0.57730705,27.549111811569055,99.47964682471428,0.01085033,4.291216135025024,5.854978322982788,100,190000,192.21144604682922,2984.4449269771576,18,196.55606412887573,83.82290702004792,11.576840475422172,0.052654266357421875,185.83202409744263
68.42216657989195,-0.59218764,33.05386925426545,91.05765818396478,0.0121674985,8.432403087615967,7.133083820343018,100,200000,261.753586769104,3254.9714918136597,19,270.4830038547516,87.72044083852856,10.976877260239688,0.29401135444641113,253.85549449920654
70.51042840934807,-0.68027294,47.5246793176315,96.84653721074676,0.0035265991,4.69498872756958,7.6490373611450195,100,210000,324.44620990753174,3584.3455979824066,20,329.25251603126526,92.3186439464825,8.774656720949007,0.1095120906829834,316.04520750045776
68.5151728063025,-0.68810004,44.244073531015445,98.0828410714286,-0.016365038,4.545773983001709,5.958479166030884,100,220000,201.5241482257843,3790.4936168193817,21,206.11787796020508,86.93966336673512,11.009136474004952,0.03284001350402832,195.03061199188232
