LossAfter,train-PolicyExecTime,train-NumTrajs,train-StdReturn,n_timesteps,Time-SampleProc,Time-Sampling,Time,ItrTime,train-AverageDiscountedReturn,train-MaxReturn,train-AverageReturn,train-EnvExecTime,Time-Optimization,LossBefore,Itr,train-MinReturn
-2.4289403,85.16529822349548,100,3.2848961034511213,10000,0.023015260696411133,89.46825408935547,94.03428196907043,94.03427696228027,-1.7887938792431666,7.565593785760851,-1.2906248765260306,3.86923885345459,4.541385889053345,0.003054248,0,-8.95783254553371
-2.2700536,86.73501968383789,100,3.415558615672344,20000,0.019103050231933594,91.0851321220398,188.12788009643555,94.0053231716156,-1.5932713926685431,3.782727053406604,-2.549431108025765,3.9137637615203857,2.8997409343719482,0.0010800781,1,-11.782817306285326
-1.9256855,91.17633152008057,100,2.0483789327207527,30000,0.026562213897705078,95.78132891654968,286.2217650413513,98.07453513145447,-4.629619768732432,1.8660207131347495,-3.28369881702952,4.087751626968384,2.265925884246826,0.018498804,2,-8.240524886513807
-1.0981197,84.39936852455139,100,2.1468512323169886,40000,0.02362990379333496,88.72115921974182,377.12141728401184,90.87224507331848,-2.5233669259219034,2.3154074139952114,-2.36890429805307,3.871554374694824,2.1270530223846436,-0.0020286378,3,-8.771442527198328
0.04193877,86.09989953041077,100,3.004109312989387,50000,0.02129817008972168,90.48347234725952,469.88791394233704,92.74234986305237,2.9296598226302795,11.242102969348238,1.529898700738013,3.9360013008117676,2.235872983932495,-0.009884229,4,-6.182773670318279
-0.21929741,84.29117798805237,100,5.562873481491465,60000,0.020106077194213867,88.67885518074036,560.9667060375214,91.05542302131653,16.41565626668227,20.77911993117555,9.199710430706077,3.9467787742614746,2.3551321029663086,0.00819057,5,-3.443553507927338
-0.36458755,80.47366499900818,100,5.996258520232513,70000,0.01914525032043457,84.95663094520569,648.1277348995209,87.13088297843933,18.99842464002415,23.971165414475795,10.806246894387577,4.044357061386108,2.1536030769348145,-0.0033846924,6,-5.3955651635107
-0.8193165,83.67378783226013,100,5.005993309725969,80000,0.021078109741210938,88.33090209960938,738.6224071979523,90.47364497184753,28.1578183519789,23.551455961356407,14.628593663703187,4.09611439704895,2.120252847671509,0.010325122,7,-1.6294335550689802
-1.8434823,81.37304472923279,100,3.7145665892134727,90000,0.019255638122558594,85.79931688308716,826.5450489521027,87.89801025390625,28.98168169592168,21.988861524099843,15.244666684511294,3.9713985919952393,2.0780701637268066,0.0055215606,8,5.39801812854057
-4.2087216,82.52671217918396,100,2.361720060709372,100000,0.020814180374145508,87.17486119270325,915.9657399654388,89.4005970954895,25.06994659581025,19.89049838611859,14.012388719863361,4.201709985733032,2.2034449577331543,-0.0018115097,9,8.05554877197814
-8.802537,84.26761054992676,100,2.267876634040719,110000,0.023622989654541016,88.63780498504639,1006.7031180858612,90.7163507938385,27.773647505637204,22.576472471328874,14.893688902897498,3.9208786487579346,2.053593158721924,-0.00025675658,10,10.62521501662487
-11.475975,81.06654906272888,100,3.3228113335425946,120000,0.021606922149658203,85.46107006072998,1094.2831239700317,87.55707168579102,39.342346487048346,26.879534897952087,19.403524737229677,3.9403324127197266,2.064445972442627,0.0018725769,11,10.904721617096259
-13.014836,79.18654561042786,100,4.1152955700219085,130000,0.02105998992919922,83.51016306877136,1179.8622040748596,85.55679106712341,31.714847785861416,24.385006071748464,15.573717314884659,3.8702549934387207,2.0239360332489014,-0.0048844544,12,2.140965427555806
-11.907302,79.24475574493408,100,4.4695461735360285,140000,0.01980304718017578,83.52320098876953,1265.4454061985016,85.55936479568481,9.257691307828937,14.165767599400944,3.6691861818164835,3.8322579860687256,2.01454496383667,0.009556457,13,-6.176825832634477
-4.572117,78.00183582305908,100,3.534301899504262,150000,0.022196054458618164,82.32405495643616,1350.4631509780884,84.99508213996887,-3.4816319985704847,7.294316323291102,-2.603601532061382,3.8667402267456055,2.6471269130706787,0.003549588,14,-8.946769621226947
-1.4430509,81.84131145477295,100,3.0555669191016395,160000,0.021378040313720703,86.23770403862,1439.3412930965424,88.85569906234741,-4.102643339382091,4.75513782847525,-2.6594122513254383,3.9371864795684814,2.595155954360962,0.017361645,15,-12.219383569444092
-0.7169693,78.32871222496033,100,2.927016752827376,170000,0.019474029541015625,82.64413499832153,1524.2406361103058,84.876540184021,-4.026186289097657,4.459357693259519,-2.9587890518462108,3.86887788772583,2.211174964904785,-0.011940009,16,-10.783787602658379
-0.80626583,82.28659439086914,100,3.026045451458334,180000,0.022504329681396484,86.63440203666687,1613.403244972229,89.14052724838257,-3.296878948919895,6.002155847086051,-2.371167039747901,3.8787853717803955,2.482272148132324,-0.014144372,17,-9.254172769142784
-1.2991074,83.07726383209229,100,3.2828707399568633,190000,0.027901887893676758,87.65245699882507,1703.2611651420593,89.83559918403625,-2.8396008849843777,7.8237960887680815,-1.8880958989534355,4.122340679168701,2.1466171741485596,0.013221004,18,-8.484760023186798
-4.033967,84.19678997993469,100,4.284942992480179,200000,0.019336223602294922,88.51599717140198,1794.9304749965668,91.64554500579834,-0.3826616872968918,10.861017577649108,-0.5680679040948007,3.8640799522399902,3.1083121299743652,0.0012733032,19,-11.293940537080653
-14.0804,87.45582294464111,100,4.254523018565433,210000,0.022404193878173828,91.94398808479309,1889.0896968841553,94.13752388954163,1.3337277746101805,10.781600412285847,0.8756929325878979,3.9627389907836914,2.1694231033325195,0.014093254,20,-8.779985075452997
