train-StdReturn,n_timesteps,train-EnvExecTime,train-MaxReturn,train-NumTrajs,train-AverageDiscountedReturn,train-MinReturn,Time,train-PolicyExecTime,train-AverageReturn,LossBefore,Time-SampleProc,ItrTime,Itr,LossAfter,Time-Optimization,Time-Sampling
3.9334444960475303,10000,4.916835784912109,13.13845047850329,100,-2.01126238817171,-11.01163209505652,134.98842310905457,123.85974073410034,-1.825013889022365,-0.0021208008,0.031854867935180664,134.9884159564972,0,-0.99029845,5.623974323272705,129.32360172271729
1.7700418976641117,20000,4.663442850112915,3.6118555496911977,100,0.12667308506615868,-5.383668850007567,258.80567598342896,115.17752885818481,-0.5485701054725848,-0.0035300537,0.03208804130554199,123.70668005943298,1,-2.02362,3.2413461208343506,120.4320080280304
2.5616490984541955,30000,4.136932611465454,5.142945976543551,100,-0.7655321749053547,-7.8939048517014445,385.49670028686523,119.17627334594727,-0.9076863285852107,0.0094001675,0.02399301528930664,126.66069293022156,2,-0.5323228,2.863938808441162,123.7720148563385
6.0069311796838525,40000,4.154031038284302,8.461169577317927,100,-8.989687929310506,-14.830349057193777,513.9232850074768,120.94764995574951,-6.389110287951948,0.014357947,0.019917011260986328,128.40479803085327,3,-0.19096677,2.815431833267212,125.56808400154114
5.916648695243432,50000,4.098840236663818,8.07375105699028,100,-12.385309042364916,-16.58400622626106,635.0218102931976,113.79423403739929,-9.060340012037992,0.015795972,0.018648624420166016,121.07672810554504,4,-0.14834017,2.7404251098632812,118.31697392463684
5.450343499636458,60000,4.004611968994141,7.025772589631625,100,-8.369404551024592,-14.701065326778776,758.0036661624908,115.40485000610352,-5.916230313623369,0.025525378,0.019874095916748047,122.96094608306885,5,-0.050164625,3.1102659702301025,119.8283908367157
3.781747947879331,70000,3.5871214866638184,7.747852965832529,100,-2.146686815406328,-12.119013003267979,876.1523740291595,111.3896996974945,-1.9543328988637683,-0.0045449096,0.01970815658569336,118.12448692321777,6,-0.047045372,2.726729154586792,115.37747001647949
2.8874285417994465,80000,3.6400299072265625,5.540667988275223,100,0.6456898189960867,-14.15012317555793,995.3320870399475,112.53931021690369,-0.8811506455302418,0.007237512,0.0335078239440918,119.15971207618713,7,-0.05868941,2.5348660945892334,116.59009003639221
4.635495645945863,90000,3.8138320446014404,4.32096207774881,100,-4.537950339983706,-15.100534873699997,1120.8997921943665,118.55917286872864,-3.3639157262561823,0.0037425903,0.02258586883544922,125.54714894294739,8,-0.033895373,2.7048070430755615,122.81835412979126
5.211137693510403,100000,3.866293430328369,4.566760019460633,100,-11.034607506896162,-15.41740036253242,1237.5827372074127,109.06860756874084,-6.602382441504865,0.018178806,0.02131819725036621,116.66003394126892,9,-0.027523931,3.290466785430908,113.3478000164032
