Time,train-EnvExecTime,train-MaxReturn,train-StdReturn,n_timesteps,train-NumTrajs,train-AverageReturn,train-MinReturn,train-PolicyExecTime,LossBefore,ItrTime,Time-Sampling,train-AverageDiscountedReturn,Time-Optimization,Time-SampleProc,LossAfter,Itr
8.429128646850586,3.086135149002075,152.40552785812548,66.10064868764283,10000,100,-67.20064824652687,-156.30618559163847,4.67304253578186,6.1035155e-09,8.429126501083374,7.996286869049072,-160.4172532234621,0.3797755241394043,0.05280780792236328,-0.2189238,0
17.28868818283081,3.2854185104370117,201.63261070474454,1.626245601414592,20000,100,198.3325500427675,192.53820781786882,4.717367172241211,-4.7683715e-09,8.811147928237915,8.235408306121826,363.1387896541431,0.5141012668609619,0.06139016151428223,-0.30191523,1
26.11592698097229,3.3687963485717773,181.58654735816765,10.50619477893878,30000,100,138.08666853080803,116.38699900185343,4.859945774078369,-4.577637e-09,8.805396556854248,8.473518371582031,244.04515613209998,0.25732851028442383,0.07425570487976074,-0.044008326,2
34.8021342754364,3.330979824066162,193.49679003185966,12.787197452894858,40000,100,168.14355735066155,97.12558985866548,4.753003358840942,3.0517577e-09,8.666495323181152,8.326335906982422,304.52170355526624,0.26049089431762695,0.07939648628234863,-0.052883092,3
43.529134035110474,3.3110334873199463,206.66572056593785,28.962805803697545,50000,100,171.069074417901,76.10563950219313,4.8504462242126465,-1.2207031e-08,8.71056079864502,8.400492191314697,302.59732169580434,0.26957273483276367,0.04024982452392578,-0.18202125,4
52.342620611190796,3.3568990230560303,193.45452220539303,2.8118600812847596,60000,100,187.27788471084347,178.53997338823615,4.889511585235596,-1.2207031e-08,8.794646739959717,8.486213684082031,336.8689117909977,0.26868581771850586,0.03948974609375,-0.4895625,5
61.06298565864563,3.32615065574646,192.08603075857204,1.7651904545043258,70000,100,188.70399413191208,182.065858182635,4.807329177856445,-7.629395e-09,8.702441692352295,8.387505531311035,341.9503196196019,0.24947547912597656,0.0651857852935791,-0.16411793,6
69.87940120697021,3.3490653038024902,192.27770637992415,0.747638852683418,80000,100,190.65814978185267,189.31413009662597,4.903156042098999,5.722046e-09,8.799782991409302,8.500553846359253,348.51872592401895,0.26126718521118164,0.03769493103027344,0.036477394,7
78.57416343688965,3.327143430709839,190.8557411702224,0.9471975432360494,90000,100,188.9592611202554,186.33210093823823,4.7735655307769775,-9.155274e-09,8.677764654159546,8.34970498085022,345.0193395649358,0.24864959716796875,0.0698847770690918,-0.025138117,8
87.40409445762634,3.382732391357422,191.49209190576266,0.9335918853776259,100000,100,189.51424977926348,187.21369177205275,4.87773871421814,9.918213e-09,8.810986518859863,8.503508567810059,346.23408322577023,0.2742955684661865,0.03298664093017578,-0.014778592,9
