train-EnvExecTime,train-PolicyExecTime,LossAfter,train-AverageDiscountedReturn,train-MaxReturn,n_timesteps,Time-SampleProc,Time-Sampling,Itr,train-MinReturn,train-NumTrajs,Time-Optimization,ItrTime,Time,train-StdReturn,LossBefore,train-AverageReturn
4.520804166793823,170.4741358757019,-0.83547765,-2.1228238657319918,11.645722094400492,10000,0.027966976165771484,175.49787712097168,0,-9.060670958826151,100,7.156552076339722,182.7041232585907,182.7041277885437,4.037007764874156,-0.0068527465,-2.02051779275834
4.163544654846191,193.59735870361328,-2.064895,-1.0340239368326578,2.900917881220516,20000,0.022166967391967773,198.2393810749054,1,-6.5146026428047215,100,3.3514270782470703,201.61444687843323,384.55550169944763,2.0941701434724,0.0016114013,-1.105191212631994
3.9631285667419434,183.49602675437927,-0.59027493,-1.6911777459766384,2.9946461019843955,30000,0.022183895111083984,187.91043519973755,2,-9.027757794951409,100,2.879157066345215,190.8154969215393,575.3935868740082,2.5600166046531876,0.003443097,-1.4603686898207728
4.200395345687866,204.274747133255,-0.32381657,-5.294121619937015,7.4371949834185065,40000,0.023460865020751953,208.9413640499115,3,-15.868818686406483,100,3.53775691986084,212.50425720214844,787.920090675354,5.3844815803711095,-0.00093203125,-4.257823021565172
4.198858022689819,187.76344776153564,-0.19569887,-9.665431878004469,12.153961341471096,50000,0.021584033966064453,192.42423915863037,4,-15.17138082428009,100,3.610624074935913,196.05711197853088,983.9965927600861,5.552712930751578,-0.0015624268,-6.490598796660164
4.045953989028931,188.93079566955566,-0.028220026,-3.720265247314768,5.486135152987802,60000,0.02260279655456543,193.42788219451904,5,-13.098696239486173,100,6.9571778774261475,200.40855503082275,1184.4276947975159,4.136575966612486,0.010507153,-2.755162876567494
4.11077356338501,206.57789301872253,-0.04510654,-1.6356435734792643,14.96857541839927,70000,0.040801048278808594,211.16061305999756,6,-11.099344372322276,100,3.2676758766174316,214.47058510780334,1398.920189857483,4.731786089044511,-0.0040269773,-1.8723248593368271
4.088030815124512,195.23860096931458,-0.04015437,-1.2914101334497312,7.648342958529923,80000,0.0238189697265625,199.80572319030762,7,-11.231631605411671,100,2.835115909576416,202.6652638912201,1601.6072869300842,3.8558976856447167,0.0058472534,-1.5245925424609863
3.971133232116699,187.2447407245636,-0.07277357,-0.5362128835928142,9.516389692101551,90000,0.023465871810913086,191.66608810424805,8,-6.616703774596483,100,3.7240917682647705,195.41514492034912,1797.0459988117218,2.858813997120994,0.00615741,-0.6453970226235798
4.0644145011901855,207.371643781662,-0.088315986,2.0288895755235496,9.606000619429585,100000,0.021039962768554688,211.88905000686646,9,-6.282369326017538,100,3.494781970977783,215.40653109550476,2012.474473953247,2.753327805544079,0.003504547,0.8677809643788327
3.9649672508239746,196.82778763771057,-0.01314599,3.1626176632942196,18.61249514205688,110000,0.0200347900390625,201.28195905685425,10,-6.674408575372198,100,3.631287097930908,204.93462085723877,2217.430354833603,4.899504653460553,-0.007322394,2.3515190948700835
4.260146141052246,230.89868474006653,-0.0485251,2.916177382252006,15.275665479122594,120000,0.02876424789428711,235.6697437763214,11,-6.063694623303157,100,4.525826692581177,240.22638988494873,2457.6918337345123,2.9459560041402195,0.0034178467,4.010523053003868
4.746752023696899,307.5086634159088,-0.52912205,6.583441324035411,13.788669209189274,130000,0.033605098724365234,312.81102418899536,12,2.020617528193143,100,4.093118906021118,316.94033312797546,2774.6669437885284,2.784694415686693,0.0050134524,6.442610368952222
4.741963863372803,341.9497101306915,-2.1572192,7.89921971964213,17.80473724805826,140000,0.059217214584350586,347.2554008960724,13,-0.0002737976790495589,100,8.121795892715454,355.43739008903503,3130.1298508644104,4.577585777207951,-0.017528491,7.293407470510808
5.251461744308472,433.4466586112976,-2.2845235,2.5157818549130426,14.977640557026612,150000,0.03721785545349121,439.2796289920807,14,-10.813217482834515,100,4.539010047912598,443.85792112350464,3574.022761821747,5.667343643116353,-0.017827906,2.804282733222798
4.558370590209961,268.0282607078552,-2.6720004,0.11777073361534483,13.316614369226173,160000,0.03209495544433594,273.1079611778259,15,-13.91236351216377,100,4.378619194030762,277.5204300880432,3851.62389087677,5.444320365647926,-0.0049824095,1.7134232317697897
4.300869703292847,244.3756308555603,-3.1764238,6.372703305624043,16.87590391293517,170000,0.025705814361572266,249.17301893234253,16,-20.231573161049415,100,3.606515884399414,252.80659794807434,4104.451191663742,9.355988175965301,-0.0119194705,3.278465406715318
4.448518753051758,280.7148735523224,-4.0444508,-13.972170522416002,11.761520054977904,180000,0.05843210220336914,285.73866391181946,17,-19.436446773209088,100,4.3104188442230225,290.1093170642853,4394.604563951492,6.643097742862066,0.024337208,-5.070190845231816
4.283143520355225,328.9157247543335,-9.719141,-31.18603020120523,-5.150071830211062,190000,0.0355679988861084,333.7128150463104,18,-19.87082429074545,100,4.6093058586120605,338.3588478565216,4732.9920217990875,3.609084631114808,-0.010481604,-13.0303852100751
3.9618771076202393,265.2101924419403,-50.276836,-25.45572590172165,-5.9759239070575525,200000,0.023526906967163086,269.6444089412689,19,-15.765395452932198,100,4.1666259765625,273.8367898464203,5006.89040184021,2.1107499645126935,-0.0013762757,-11.393863644792615
4.117802381515503,239.80983567237854,-40.111423,-10.884945513190027,1.834021833932369,210000,0.07187199592590332,244.6828429698944,20,-20.489404141634736,100,6.204174041748047,251.06446385383606,5257.977229833603,4.8299419386921505,0.009422339,-7.462963671344685
