train-NumTrajs,Time-Optimization,LossAfter,train-PolicyExecTime,train-MaxReturn,n_timesteps,ItrTime,Time-Sampling,train-AverageDiscountedReturn,train-AverageReturn,Time-SampleProc,train-EnvExecTime,LossBefore,train-StdReturn,Time,Itr,train-MinReturn
100,0.7189426422119141,0.03106911,12.750924348831177,42.67363250108449,10000,16.591317176818848,15.79690957069397,-51.713702757017266,-30.82405191850256,0.0746619701385498,2.781202554702759,0.06360687,33.159997659104995,16.59132146835327,0,-96.66628125147476
100,0.5463876724243164,0.025748298,12.800590515136719,81.37667450004405,20000,16.807820081710815,16.163288831710815,-50.45831998221882,-29.33460842023205,0.09790420532226562,3.024474620819092,0.052771315,36.532711626094375,33.51809620857239,1,-135.96618526085288
100,0.8981068134307861,0.03131151,11.094585418701172,69.26768603644443,30000,15.301354885101318,14.229554653167725,-36.26131731274903,-21.6241646589795,0.17323827743530273,2.845245599746704,0.05825097,30.507653487662242,48.84036469459534,2,-105.92975446292195
100,0.5103216171264648,0.046808206,12.155858755111694,59.55052440603915,40000,16.05732560157776,15.419588804244995,-41.18211910110959,-22.800169663049083,0.12695002555847168,2.965472459793091,0.07229593,31.39463207882294,64.93368530273438,3,-111.08373894469227
100,0.47758030891418457,0.04071264,11.817890882492065,100.18667294413005,50000,15.436975240707397,14.819829225540161,-30.428989477050827,-17.58703084653979,0.13932013511657715,2.721120834350586,0.068046056,35.11371776624528,80.39119338989258,4,-116.05786120847648
100,0.4637937545776367,0.054423198,12.17414379119873,49.52041539442166,60000,15.993986368179321,15.394261598587036,-41.1006061757809,-22.782292846421797,0.13409090042114258,2.907771587371826,0.07423545,28.90773855360284,96.41528654098511,5,-85.53048870506687
100,0.5856516361236572,0.023560043,12.212409019470215,36.76700381816919,70000,16.06846046447754,15.328559160232544,-41.07016355650639,-23.682053391751353,0.1537928581237793,2.835509777069092,0.050857086,30.067807497609675,112.51833415031433,6,-113.95508391048902
100,0.6388988494873047,0.032445375,12.99124026298523,49.619850687820595,80000,16.990741729736328,16.24768829345703,-37.8653798919849,-21.42199879605597,0.10386371612548828,2.9411749839782715,0.05678107,30.324641495346757,129.5410635471344,7,-92.3966080216136
100,0.545325756072998,0.048372395,12.15319037437439,37.112117983001994,90000,16.00507092475891,15.33104395866394,-30.81630223608991,-18.276554334793037,0.12847137451171875,2.900928258895874,0.06891295,28.667043556038855,145.57436800003052,8,-82.67454077523406
100,0.5233721733093262,0.03231008,12.253519535064697,48.179881239761784,100000,15.968726634979248,15.323231935501099,-35.56135990512207,-20.16438060875189,0.11833643913269043,2.7858974933624268,0.057983045,32.348907885869316,161.56491661071777,9,-134.7859630663827
100,0.5550143718719482,0.047203496,12.082941055297852,73.11322835138932,110000,16.078407287597656,15.429322719573975,-29.52313568643318,-17.166068619229755,0.09366321563720703,3.0134243965148926,0.073363096,31.992116934611335,177.6718783378601,10,-77.3515963460565
100,0.5336976051330566,0.042094808,12.502820491790771,100.7639203010561,120000,16.4393572807312,15.768408298492432,-25.607828629302418,-15.484075253048939,0.13390755653381348,2.9722158908843994,0.065455504,34.69078809364745,194.13134670257568,11,-112.14832637480097
100,0.5982029438018799,0.031046368,11.696274757385254,55.17936473258068,130000,15.678393602371216,14.975964069366455,-25.43718748989906,-14.914409663065776,0.10187625885009766,2.9591145515441895,0.054374702,32.55687550351181,209.86239743232727,12,-100.96569362638367
100,0.5491607189178467,0.04953674,11.133690357208252,67.7100935730215,140000,14.894907474517822,14.187685489654541,-36.47391655448243,-21.801287434833977,0.15706586837768555,2.7277050018310547,0.07451128,31.649077882947118,224.77977919578552,13,-99.54651314747113
100,0.5236697196960449,0.04560406,12.70410966873169,74.60849759461304,150000,16.610708951950073,15.940120220184326,-29.969222406454204,-16.972051674713814,0.14669108390808105,2.932351589202881,0.07069692,31.69351270827178,241.41802096366882,14,-85.24130266197804
100,0.5965778827667236,0.047743976,9.6753830909729,71.95256929744517,160000,13.465023517608643,12.72706389427185,-26.310192745088692,-14.823102380876978,0.13981246948242188,2.7763609886169434,0.07662333,33.994475950970596,254.91673469543457,15,-88.94122596090388
100,0.7020325660705566,0.050416604,13.502431392669678,68.83640412767957,170000,17.725679636001587,16.91704297065735,-25.002608677264366,-15.275858979398988,0.106292724609375,3.0811872482299805,0.07438999,28.62112973074859,272.6632151603699,16,-91.31978858053738
100,0.6091852188110352,0.018344201,12.357298374176025,54.2566185442641,180000,16.207606077194214,15.530845165252686,-23.883914313155486,-14.240006442601828,0.06603860855102539,2.87359881401062,0.04958297,27.727465573257803,288.9427213668823,17,-99.99927138961114
