ItrTime,n_timesteps,train-NumTrajs,Itr,train-StdReturn,train-MaxReturn,LossAfter,train-AverageDiscountedReturn,train-EnvExecTime,Time-Sampling,Time-SampleProc,Time,train-PolicyExecTime,LossBefore,train-AverageReturn,Time-Optimization,train-MinReturn
51.83104205131531,10000,100,0,38.764021668781176,57.29945098042083,-0.45156533,-70.4410561959863,4.9794182777404785,44.90708613395691,0.024689197540283203,51.831050157547,39.41079235076904,0.009529981,-40.78091740887995,6.214457035064697,-149.46581109611444
52.03729200363159,20000,100,1,41.09072517938372,77.49589944131706,-0.3053971,-70.9008141131008,4.698641777038574,49.54594278335571,0.04031682014465332,103.98116993904114,44.34905481338501,0.0040310607,-40.71897266390485,2.450453042984009,-144.93581491351844
45.44545578956604,30000,100,2,49.62235285096101,103.16516937955627,-0.25370425,-49.58037230150892,4.422714710235596,43.174607038497925,0.023890018463134766,149.4556269645691,38.234598875045776,0.022399586,-26.60520566803261,2.2464990615844727,-158.35529280205748
40.34677815437317,40000,100,3,47.130499803473384,93.28788092496576,-0.10177354,-60.14310671710305,4.1495935916900635,38.103574991226196,0.025156021118164062,189.82777094841003,33.493021726608276,0.02471748,-33.781635937466426,2.217641830444336,-156.21089320105423
40.31589412689209,50000,100,4,47.63751892508043,111.8682742806413,-0.09816602,-49.952928314017484,4.175753355026245,38.068500995635986,0.022023916244506836,230.16649198532104,33.43014574050903,0.016991748,-28.63234932926541,2.223986864089966,-145.69245350363997
39.2233190536499,60000,100,5,40.82050535385085,55.38397634369002,-0.13335562,-43.65289678901945,4.078912973403931,37.03436517715454,0.021476030349731445,269.41048097610474,32.49280118942261,0.010425635,-25.11900160708522,2.166753053665161,-143.61941614497718
40.91904091835022,70000,100,6,37.94850033840089,64.72755868748423,-0.21851091,-44.631064420894035,4.194260120391846,38.750056982040405,0.021996259689331055,310.3503179550171,34.07920813560486,0.013939062,-24.95533225106638,2.145250082015991,-112.90527080369766
40.07838320732117,80000,100,7,36.91950870599439,64.15992023396862,-0.08843015,-64.83965257418907,4.132925271987915,37.868499994277954,0.028643131256103516,350.4505560398102,33.258503913879395,-0.007193091,-38.46014983288877,2.180457830429077,-137.58025601287812
42.04239821434021,90000,100,8,39.59467031518214,71.58548614441514,-0.12575166,-62.40428383632688,4.269376039505005,39.30673408508301,0.021068096160888672,392.5130760669708,34.55854344367981,0.027013903,-36.57337126213849,2.7136740684509277,-133.0999082519499
42.44033598899841,100000,100,9,45.24488799627776,76.78376354940774,-0.09671619,-79.26496288343313,4.136964559555054,40.6938738822937,0.026897907257080078,434.9840190410614,36.097782373428345,-0.029587964,-46.92363645238038,1.7189700603485107,-164.07708688384741
27.799324989318848,110000,100,10,35.93441703599615,25.666874925990317,-0.0806417,-125.89167954218084,3.7433977127075195,26.125132083892822,0.02123117446899414,462.8043909072876,21.951873540878296,0.02895348,-70.31237338826958,1.6520869731903076,-145.5724303316163
27.88482403755188,120000,100,11,41.04843466951189,51.72216081300909,-0.08711719,-81.89687416190384,3.78429913520813,25.518424034118652,0.019582033157348633,490.710657119751,21.305623531341553,-0.014483667,-46.92121053082325,2.346356153488159,-152.85316926186314
30.671038150787354,130000,100,12,47.01207231911815,93.79483018519859,-0.10331606,-82.29802503650379,3.9280805587768555,28.990461111068726,0.019557714462280273,521.4067978858948,24.627047777175903,0.013761817,-47.920183008931744,1.6593420505523682,-160.41161838236263
26.851583003997803,140000,100,13,46.12986645518711,83.20026850889475,-0.090825364,-0.39862344031930946,3.7578816413879395,25.238111972808838,0.021908044815063477,548.2802040576935,21.056139707565308,0.016680384,-3.5258432738125993,1.5841946601867676,-127.43962644716396
26.926276922225952,150000,100,14,50.67001602190103,87.67403590292939,-0.21400806,-20.970395047848474,3.6535286903381348,25.26571798324585,0.019882917404174805,575.2281539440155,21.19149112701416,-0.007951306,-16.14046615500855,1.6402888298034668,-134.4257582571303
27.083954095840454,160000,100,15,50.172992777785595,88.11330359490074,-0.3058502,-21.699941396853493,3.701681137084961,25.420585870742798,0.020400285720825195,602.3400111198425,21.243561267852783,0.009650617,-13.10908019656215,1.6378371715545654,-127.82078348741429
27.168596982955933,170000,100,16,47.04036096697356,86.86824466027115,-0.42010385,-40.00738834771803,3.6616148948669434,25.4889919757843,0.01976490020751953,629.5310328006744,21.393842220306396,-0.03286094,-23.61593125389031,1.6594388484954834,-163.66612447925516
27.07615828514099,180000,100,17,50.97090797610102,82.89118893033967,-0.25324234,-65.39405549868701,3.7173264026641846,25.468514919281006,0.02047896385192871,656.6282570362091,21.334538459777832,-0.0022486085,-38.441513555604786,1.5857551097869873,-176.42762823257175
26.968891859054565,190000,100,18,41.43046469359293,51.33040898040421,-0.21962316,-68.49834732860302,3.6648411750793457,25.320292711257935,0.019428253173828125,683.6190669536591,21.23923635482788,-0.02456864,-40.94491311137624,1.6278562545776367,-122.70654749126717
29.209596157073975,200000,100,19,43.04815148452776,39.28058080557026,-0.17955977,-90.46164390932024,3.79655122756958,27.532196044921875,0.02009868621826172,712.8497490882874,23.31385040283203,0.038572166,-52.39870645256452,1.6566767692565918,-191.14897510729668
26.944854974746704,210000,100,20,48.1022750120149,53.906673413551914,-0.15462634,-101.17552502856034,3.6560025215148926,25.337485790252686,0.020202159881591797,739.8150539398193,21.250147104263306,0.040990222,-56.508459361286334,1.5866470336914062,-200.71476147241873
