train-AverageReturn,train-PolicyExecTime,LossBefore,Time-Sampling,Time-Optimization,train-MaxReturn,Time,train-StdReturn,ItrTime,Itr,LossAfter,n_timesteps,Time-SampleProc,train-MinReturn,train-EnvExecTime,train-AverageDiscountedReturn,train-NumTrajs
-43.11306009255749,38.52258610725403,-0.0067170653,44.0345401763916,5.772010087966919,22.501390909870924,50.415197134017944,29.84497618416056,50.41519212722778,0,-0.61947167,10000,0.026517152786254883,-119.66979795740951,4.99090576171875,-73.47165667282586,100
-35.182570458546735,38.43497180938721,0.021003736,43.73572301864624,4.777935028076172,50.71046899618758,99.65034413337708,38.6673586584507,48.94232511520386,1,-0.31357995,20000,0.024492979049682617,-126.43973688912601,4.744692325592041,-61.58657732102012,100
-51.41004859821759,35.91299867630005,-0.018598389,40.91409206390381,3.9949071407318115,14.002814569994802,144.60744094848633,44.29762804863048,44.932167291641235,2,-0.23664555,30000,0.0218203067779541,-180.04889600091335,4.503383159637451,-92.05327937894812,100
-48.945082076509024,31.528679847717285,0.0032398927,36.07880425453186,2.3032610416412354,31.042361676696036,183.03555488586426,42.040332961075045,38.404601097106934,3,-0.17641646,40000,0.022145986557006836,-169.3549964128491,4.075970649719238,-86.32913409326284,100
-39.072315365011576,32.32760238647461,-0.012824787,36.93573188781738,2.2032690048217773,37.91926648842582,222.2251489162445,36.272000712453824,39.16416621208191,4,-0.2283127,50000,0.023021697998046875,-161.58204097058,4.1295812129974365,-67.16494070526991,100
-43.91127060367058,31.33525800704956,0.0052291746,36.036505937576294,2.195554733276367,49.293698711341335,260.5104629993439,45.2685349275793,38.26327204704285,5,-0.28629166,60000,0.030720949172973633,-187.7285469601516,4.22700572013855,-75.32230057562539,100
-44.16730970963158,32.33055305480957,-0.009910108,36.955426931381226,2.5630109310150146,73.16234527813764,300.08013892173767,45.66928104219078,39.545893907547,6,-0.22847812,70000,0.0256807804107666,-187.82953382569036,4.150548934936523,-77.85360016473682,100
-37.9703547588834,31.968343257904053,0.016030347,36.6415810585022,2.25815486907959,32.85181293203628,339.02435207366943,44.111646038343174,38.920413970947266,7,-0.24462138,80000,0.020067930221557617,-160.01645123469538,4.201356649398804,-67.50188665642241,100
-41.71928789584197,31.503891229629517,0.038850635,36.06419396400452,2.1705918312072754,31.589923131408415,377.31472301483154,37.60423505334192,38.26581883430481,8,-0.14364575,90000,0.03015899658203125,-141.89821044371942,4.09739875793457,-72.67601554987155,100
-46.19263444991657,40.473164081573486,0.018925244,45.27476191520691,2.110942840576172,37.21355897866834,424.7471251487732,37.23986202872187,47.40829586982727,9,-0.20739399,100000,0.02126479148864746,-148.46293072976306,4.34355616569519,-81.8823289291682,100
-52.35861830771649,22.06120276451111,-0.013262366,26.384160041809082,1.486793041229248,37.1598927383188,452.9954080581665,41.09604757128542,27.891515970230103,10,-0.3877071,110000,0.020103931427001953,-159.91105319856214,3.7750601768493652,-91.65427472177738,100
-47.37984605913149,21.09415912628174,0.010838623,25.1451518535614,1.6092309951782227,36.46451936896505,479.79278802871704,43.71948452871614,26.775799036026,11,-0.5285839,120000,0.020105838775634766,-157.55722033055432,3.634197473526001,-81.32040012681918,100
-46.179779983535234,24.661298513412476,0.0041990234,29.047695875167847,1.6247210502624512,107.73067998428196,510.5113561153412,41.3823760739,30.697386980056763,12,-0.7188084,130000,0.020999908447265625,-138.43828603711353,3.9514575004577637,-78.38221192970214,100
-52.65759064373703,20.848872661590576,-0.0030458495,24.8766770362854,1.4477250576019287,44.50134483815657,536.8822071552277,37.043684469900214,26.348503828048706,13,-0.82591,140000,0.023772001266479492,-132.83063083902692,3.6117703914642334,-88.53279739508203,100
-53.13754400799146,20.762972831726074,-0.026820142,24.768405199050903,1.6195127964019775,31.544135490676002,563.3123059272766,39.76930382129473,26.408218145370483,14,-0.15262441,150000,0.019890785217285156,-200.210550989711,3.580326795578003,-90.52111060765588,100
-58.411537933014046,20.926283597946167,0.019434802,24.93571400642395,1.6033668518066406,55.67890568743821,589.89488697052,40.50135306556847,26.561470985412598,15,-0.100640304,160000,0.021698951721191406,-153.81818536802044,3.5946037769317627,-99.89412744060805,100
-66.66913074899087,20.85134267807007,0.023740673,24.890843868255615,1.6909761428833008,56.41022273753745,616.5196290016174,36.75765420888201,26.602869987487793,16,-0.08981069,170000,0.020663022994995117,-153.63345711307954,3.6206581592559814,-113.48986630976437,100
-71.82564922504335,20.760010719299316,-0.019219799,24.793418169021606,1.561873197555542,49.71670375570665,642.917888879776,42.86614465092087,26.376204252243042,17,-0.12815356,180000,0.019536733627319336,-173.6787836145797,3.619819164276123,-124.01626872228971,100
-78.60477054946054,20.723286390304565,-0.014932031,24.787512063980103,1.6221981048583984,18.160438707241195,669.3726150989532,42.89540132587334,26.432859182357788,18,-0.24949783,190000,0.020132064819335938,-202.53713854255622,3.652733325958252,-135.8967537188899,100
-79.87932881070225,20.646339416503906,-0.033504322,24.823323965072632,1.4845030307769775,32.566831802994315,695.723592042923,45.61269746002048,26.328996181488037,19,-0.18973096,200000,0.01990222930908203,-207.6683334016083,3.7531824111938477,-138.98251988579617,100
-79.92921693092403,22.694652795791626,-0.0027240966,27.031387329101562,1.5811879634857178,27.211756336514835,724.3768038749695,45.735152467049296,28.63278317451477,20,-0.10414502,210000,0.01982879638671875,-206.6591241071658,3.9107985496520996,-136.06720809179703,100
-74.69681398287248,20.87019920349121,-0.02528706,24.982873916625977,1.623579978942871,14.035405258889085,751.0256159305573,43.79433923597284,26.6264591217041,21,-0.16564019,220000,0.019526004791259766,-218.03528517622445,3.6927762031555176,-128.7651597081994,100
-68.90532920305654,21.160916328430176,0.0019463134,25.268743991851807,1.655540943145752,36.879647833301334,777.9937088489532,41.358722219457356,26.945696115493774,22,-0.27439186,230000,0.01999688148498535,-174.67550574185782,3.686663866043091,-118.86937687920359,100
-56.02100167403976,21.632549047470093,0.0053482177,25.728634119033813,1.6918549537658691,15.559118760842068,805.4587450027466,34.54161109695665,27.443153858184814,23,-0.7572592,240000,0.02008819580078125,-156.80059192739046,3.66672945022583,-97.4469254740577,100
-62.00616146953988,20.779911756515503,0.010705774,24.956280946731567,1.6649186611175537,10.033286379402178,832.122889995575,37.56408518490228,26.642621994018555,24,-2.3901336,250000,0.019961118698120117,-204.66769328170835,3.7089548110961914,-107.27538395961624,100
-66.10196794747043,21.328968286514282,-0.0020131348,25.43962287902832,1.6427619457244873,7.760778121939149,859.2783310413361,42.3710360995145,27.10257601737976,25,-5.662972,260000,0.01967787742614746,-216.598139472673,3.691777467727661,-113.42066129218914,100
-50.529049688206086,23.5729877948761,-0.0037814698,27.73308801651001,2.5659291744232178,75.36043896785179,889.6149480342865,38.45730781135674,30.31537103652954,26,-3.3525298,270000,0.015789031982421875,-149.81649431786505,3.732408285140991,-84.32897615877437,100
