LossAfter,train-NumTrajs,n_timesteps,train-MinReturn,train-PolicyExecTime,train-AverageDiscountedReturn,Time,Time-Optimization,Time-Sampling,train-AverageReturn,ItrTime,Itr,LossBefore,train-EnvExecTime,train-MaxReturn,Time-SampleProc,train-StdReturn
-0.5038636,100,10000,-122.93804229858941,65.50603866577148,-70.816613864769,76.33401608467102,6.277150869369507,70.02925491333008,-40.897670108431,76.33400917053223,0,0.0074506956,4.0481719970703125,25.437075701092493,0.024644136428833008,34.13596627923617
-0.30138865,100,20000,-163.09291718869156,58.47149395942688,-80.87654637403406,142.76323199272156,3.3744680881500244,62.8586049079895,-46.87073036360985,66.34305906295776,1,0.02972274,3.9223453998565674,21.36134757884389,0.10843420028686523,39.90902997096419
-0.18486018,100,30000,-198.34771061694474,64.69986605644226,-83.73431505461097,215.26413106918335,2.9944450855255127,69.45990681648254,-49.022771412148494,72.47714805603027,2,-0.012617334,4.275869846343994,43.7283139735175,0.0208740234375,45.812078651831065
-0.11213044,100,40000,-164.49887978452543,61.00099515914917,-71.2192147949433,283.30344128608704,2.585515022277832,65.40544986724854,-41.666784251300406,68.01672601699829,3,-0.009227234,3.930490255355835,89.84673600550957,0.023653030395507812,46.56129801575104
-0.113164574,100,50000,-205.05014517731232,59.61830449104309,-72.87895675890258,350.2956681251526,2.9340648651123047,64.0127182006836,-41.758305722446536,66.96726202964783,4,0.0065306397,3.933838129043579,76.92947521062321,0.01909470558166504,46.20957281710721
-0.16431499,100,60000,-126.16232651950979,62.50846552848816,-72.30244809896925,420.03854513168335,2.783640146255493,66.915598154068,-41.587499682094894,69.71955919265747,5,-0.009227002,3.9365622997283936,60.16841700557011,0.018962860107421875,34.11369456045584
-0.33127898,100,70000,-189.20684545434372,59.66263127326965,-113.64929591748081,486.8924570083618,2.8651230335235596,63.946839809417725,-67.23395366164337,66.83134269714355,6,0.004529382,3.824106216430664,32.682881076037425,0.017949819564819336,40.74917980234093
-0.18222041,100,80000,-149.8745678996698,56.040120124816895,-108.29490947081148,549.6425132751465,2.5241048336029053,60.18302583694458,-62.316690364932626,62.72704601287842,7,-0.02042749,3.6998627185821533,9.175077429434047,0.019256114959716797,39.26009069636023
-0.17255196,100,90000,-188.413824253425,56.85614585876465,-128.94621364960852,613.5881931781769,2.93516206741333,60.970444202423096,-76.25539813411703,63.92401194572449,8,-0.024002247,3.6762337684631348,9.025864413165326,0.0169980525970459,43.502617009680314
-0.20787622,100,100000,-242.4770686294864,58.49294352531433,-162.68407113056202,679.7043850421906,3.344921112060547,62.730281829833984,-92.94771146587838,66.09389805793762,9,-0.009742359,3.7933337688446045,43.780584813752526,0.017294883728027344,51.254178748845085
-0.27707145,100,110000,-258.5217213059036,56.77687621116638,-170.76392534719392,743.087128162384,2.408701181411743,60.9337842464447,-97.48593266779385,63.35965585708618,10,0.000616333,3.6839652061462402,8.98049864608125,0.016761302947998047,50.06242446145286
