train-PolicyExecTime,train-EnvExecTime,Itr,train-MaxReturn,Time-Optimization,Time-SampleProc,train-StdReturn,Time-Sampling,ItrTime,LossBefore,n_timesteps,train-AverageDiscountedReturn,Time,LossAfter,train-MinReturn,train-NumTrajs,train-AverageReturn
4.804267406463623,2.4373979568481445,0,36.35231870871537,0.4817688465118408,0.10448002815246582,32.891707886099965,7.4696314334869385,8.056177616119385,-1.2207031e-08,10000,-68.51372345198538,8.056180477142334,-17.443104,-117.12990949964704,100,-39.47368336906754
4.698255300521851,2.403688669204712,1,64.69500214197986,0.37247705459594727,0.04587388038635254,37.567942058904,7.329463005065918,7.748065710067749,0.006672528,20000,-54.49167398771167,15.835145711898804,-0.049173094,-139.78256957727484,100,-29.84445197406536
4.675506591796875,2.4487545490264893,2,29.551992399592166,0.41823792457580566,0.08337545394897461,30.87479272058176,7.353673934936523,7.85553503036499,8.392334e-09,30000,-61.63669972960338,23.71290159225464,-0.012080971,-95.82886645293384,100,-33.62547771841464
4.664070129394531,2.4414217472076416,3,41.23636099024012,0.4214901924133301,0.12657761573791504,39.058946611950454,7.338638544082642,7.886969566345215,-1.8310548e-08,40000,-70.01374243149465,31.629620790481567,-0.017520942,-169.70950437168173,100,-39.30545449563394
4.745336294174194,2.455429792404175,4,63.80152429480544,0.36724853515625,0.09759902954101562,37.961047419977895,7.4336018562316895,7.898692607879639,-3.0517577e-09,50000,-67.17056616916378,39.54720163345337,-0.011413309,-134.22995970081413,100,-37.90135966232662
4.747136831283569,2.4413721561431885,5,54.509294340601755,0.29761624336242676,0.07562065124511719,38.520240495873885,7.423402547836304,7.796982049942017,6.1035155e-09,60000,-70.33150965179672,47.36246657371521,-0.008271016,-137.893995084274,100,-39.527869864386325
4.707061767578125,2.470211982727051,6,85.56624382872086,0.2861316204071045,0.10624122619628906,35.37108997330202,7.412161350250244,7.804783582687378,-6.1035155e-09,70000,-66.77942360010954,55.18471097946167,-0.0096718995,-145.94292102890003,100,-36.69841140748641
4.8026416301727295,2.428802967071533,7,44.551020951223954,0.25109243392944336,0.08884429931640625,30.68223302574211,7.474823951721191,7.815014839172363,-9.155274e-09,80000,-66.33659615672717,63.015873432159424,-0.0062802187,-123.60983182510624,100,-37.34359619043396
4.765385150909424,2.485261917114258,8,57.4830436612622,0.23735737800598145,0.09559941291809082,41.680469420316456,7.4899585247039795,7.823111534118652,3.0517577e-09,90000,-66.84263866015462,70.85660338401794,-0.00976584,-149.05094836850589,100,-37.85127915810701
4.807499408721924,2.4659488201141357,9,55.37260084694506,0.2589528560638428,0.031603097915649414,35.28453297483484,7.505697250366211,7.796486139297485,-0.0006209778,100000,-56.755431315854686,78.67057013511658,-0.0084542055,-115.69778323808272,100,-32.72555547961667
4.806392192840576,2.4550600051879883,10,61.2691927655992,0.2667970657348633,0.03734469413757324,33.75699339374317,7.497165679931641,7.801528215408325,-1.1444092e-08,110000,-59.426904287149846,86.48807549476624,-0.0052050543,-115.4475706346086,100,-33.91228790864565
4.778845310211182,2.4283792972564697,11,56.09776711477866,0.23100781440734863,0.0918276309967041,41.264686884377596,7.443006753921509,7.766067028045654,-9.155274e-09,120000,-76.38515512052273,94.27182626724243,-0.011988064,-167.85422440908965,100,-43.27050923634245
4.7254860401153564,2.4910247325897217,12,46.526588763172526,0.23090863227844238,0.10132813453674316,37.06460640185431,7.458608150482178,7.7911975383758545,1.8310548e-08,130000,-62.227916834392346,102.07958984375,-0.010853964,-134.91404713452616,100,-34.93527477312496
4.728440284729004,2.4595131874084473,13,76.43896113095568,0.23693633079528809,0.08827567100524902,42.02862307951952,7.422781705856323,7.751010179519653,-1.2207031e-08,140000,-71.44132292808854,109.8465416431427,-0.013923975,-150.72448595682562,100,-39.19663267464899
4.776729583740234,2.4762637615203857,14,40.1167966575948,0.24263405799865723,0.039743900299072266,36.0296754548388,7.49577260017395,7.778608798980713,3.0517577e-09,150000,-70.32787645491169,117.64196872711182,-0.01681259,-156.89414367811352,100,-40.181270971367425
4.798732757568359,2.471191644668579,15,70.89936401249541,0.25739288330078125,0.04216265678405762,41.652183346317806,7.504155874252319,7.803951978683472,-1.5258789e-09,160000,-71.22554453909473,125.46174240112305,-0.012990854,-170.10478515851196,100,-38.312823928681
4.646265506744385,2.413590669631958,16,92.43388579298147,0.37287235260009766,0.08174657821655273,36.579303986968746,7.290902376174927,7.745752573013306,-2.1362304e-08,170000,-63.573897575854474,133.2223961353302,-0.009933238,-109.47723064995753,100,-34.13492471792137
4.58784818649292,2.3981077671051025,17,63.39590216760225,0.48447394371032715,0.12346625328063965,34.97079355242647,7.217306613922119,7.825473308563232,6.1035155e-09,180000,-72.06221629697791,141.06610560417175,-0.008966542,-123.58315537786928,100,-41.48321955576615
4.603739261627197,2.4526262283325195,18,54.07644651521917,0.44999146461486816,0.11489081382751465,37.87841140713756,7.29622220993042,7.861364841461182,-9.155274e-09,190000,-72.53931600365253,148.94338536262512,-0.012972961,-139.3404241564771,100,-38.047985634336555
4.717898368835449,2.474733591079712,19,31.742154294043644,0.49971652030944824,0.11207079887390137,30.4875134675882,7.425317764282227,8.037351608276367,1.2207031e-08,200000,-72.48499148079053,156.9982750415802,-0.012194454,-112.90318407088567,100,-39.186279976045284
4.687462568283081,2.4448928833007812,20,41.09126663489464,0.41599321365356445,0.09745669364929199,33.56307305701829,7.362995147705078,7.876672029495239,-3.0517577e-09,210000,-70.63819901986002,164.89418268203735,-0.0129845245,-119.09900504882847,100,-39.235313554137804
