train-MinReturn,LossAfter,train-MaxReturn,LossBefore,n_timesteps,train-EnvExecTime,train-PolicyExecTime,Time-Sampling,Time-Optimization,Itr,Time,ItrTime,train-AverageReturn,train-NumTrajs,train-StdReturn,Time-SampleProc,train-AverageDiscountedReturn
-134.60854409185288,-0.5511073,27.31293490315332,0.013578589,10000,2.5583438873291016,4.678442716598511,7.480657339096069,0.4112269878387451,0,7.972813129425049,7.972809314727783,-44.31668177964603,100,33.095306391149016,0.0806725025177002,-77.4613044689205
-173.90718259141258,-0.22413085,117.86528080594532,-0.035566162,20000,2.5728814601898193,4.692509174346924,7.51312255859375,0.36850786209106445,1,15.936720371246338,7.93616247177124,-36.42401161077485,100,49.28497302431745,0.05355715751647949,-58.239877959653505
-152.56553548581803,-0.24637908,57.75695909172026,-0.01512818,30000,2.649047374725342,4.763642072677612,7.666239023208618,0.267531156539917,2,23.949598789215088,7.998857498168945,-47.624603072954436,100,47.47756250076827,0.06481814384460449,-82.69153225104193
-156.7808366965855,-0.20182478,95.45982627385342,-0.013149319,40000,2.6189990043640137,4.7227442264556885,7.589665174484253,0.27521228790283203,3,31.935054540634155,7.970710039138794,-17.581127947436855,100,52.91094969410384,0.10560750961303711,-28.211078290884686
-133.30580022931608,-0.19222486,119.59766691817221,-0.010937299,50000,2.621381998062134,4.695586681365967,7.565195322036743,0.34814000129699707,4,39.9048388004303,7.955344200134277,-14.153179671013177,100,52.45603537222081,0.0417635440826416,-19.089488002026943
-172.6027160321632,-0.09426592,97.17857088523587,0.008114557,60000,2.645681142807007,4.816782236099243,7.715115547180176,0.27489805221557617,5,47.99914908409119,8.079521656036377,-16.150851351488097,100,56.072185523807875,0.08927130699157715,-21.99320971345602
-125.3998409566337,-0.17175633,158.88367381592306,-0.0045502624,70000,2.6241259574890137,4.705060243606567,7.580078363418579,0.3118774890899658,6,55.98635220527649,7.970970153808594,-3.6780239900193714,100,50.58886148424288,0.07876372337341309,-0.877304712031749
-148.04126062921273,-0.12319941,98.27652727752672,-0.005330975,80000,2.6248955726623535,4.725769758224487,7.604179382324219,0.32311201095581055,7,64.00215578079224,8.001287460327148,-26.65818511487484,100,58.41869676405352,0.07376623153686523,-45.719414891181025
-151.39800609731466,-0.16273575,107.96132318119268,-0.03517759,90000,2.6224124431610107,4.73804497718811,7.611642360687256,0.33270955085754395,8,72.00845432281494,7.99098801612854,-20.967341857955233,100,56.91036985902879,0.04639148712158203,-34.9690687585257
-133.05633994200218,-0.14481363,106.94585246231246,0.0041872314,100000,2.594855308532715,4.678457736968994,7.522747993469238,0.287076473236084,9,79.88448739051819,7.855053901672363,-13.625470243140146,100,54.27128215195247,0.04499197006225586,-22.246514991809683
