LossAfter,train-EnvExecTime,Time-Sampling,train-PolicyExecTime,train-AverageDiscountedReturn,Itr,train-MaxReturn,n_timesteps,train-StdReturn,train-MinReturn,train-NumTrajs,Time-Optimization,Time,LossBefore,Time-SampleProc,train-AverageReturn,ItrTime
-0.41090414,4.979151487350464,73.4368908405304,67.91004371643066,-90.82804349782809,0,31.08035411311674,10000,32.93018644218583,-122.56424772476063,100,9.313477993011475,82.78975176811218,0.007713281,0.027103185653686523,-51.212998495402864,82.7897458076477
-0.6134498,4.546773672103882,37.62612581253052,32.51687693595886,-10.54041128470821,1,83.5161328603366,20000,30.724286868140666,-87.14504026177258,100,3.0735321044921875,123.69542789459229,-0.036006887,0.0684199333190918,-7.233722889285725,40.77668309211731
-0.12293834,3.940021514892578,34.17518711090088,29.603405714035034,-61.201013967704284,2,42.00619809733408,30000,26.357009404231516,-98.7684634964016,100,3.667976140975952,161.64445805549622,0.0058599245,0.07893681526184082,-34.4982563653054,37.92251110076904
-0.10221496,3.880887746810913,35.47823524475098,31.165062427520752,-99.86466178220024,3,-5.120212760083409,40000,29.32047227678854,-140.04792900343253,100,3.992827892303467,201.16463589668274,0.0019653197,0.026082992553710938,-57.00378947107404,39.4981951713562
-0.06816919,3.877673864364624,37.317870140075684,33.00005316734314,-71.90106635018297,4,25.683454992164087,50000,28.269006090954456,-131.49892339302374,100,3.492988109588623,242.02145099639893,-0.0077657835,0.02313375473022461,-41.33983774090692,40.83459782600403
-0.21520923,3.696404457092285,36.565030097961426,32.44620132446289,-69.22608417352765,5,78.2567719973652,60000,36.07009482759655,-132.6577369563192,100,3.563340187072754,282.19068694114685,-0.0029657716,0.019631147384643555,-38.50949840370383,40.14837384223938
-0.5638422,3.9142751693725586,35.9974091053009,31.633487701416016,-75.54210936131584,6,19.86666083330561,70000,34.35824448304344,-165.42151823386047,100,3.663555860519409,321.89291071891785,0.018542334,0.020985126495361328,-44.22972077734279,39.682607889175415
-0.035803247,4.7314252853393555,49.39234471321106,44.07868003845215,-52.89389887183198,7,16.00217301759043,80000,20.244859993367424,-89.95220059334027,100,4.061036109924316,375.4094638824463,0.0062217773,0.03365302085876465,-31.2635972404233,53.48844003677368
-0.11604055,3.862125873565674,38.610677003860474,34.28290557861328,-19.884207407114435,8,31.05592037561789,90000,22.27517958696201,-77.79199255554367,100,3.722160816192627,417.8180387020111,-0.015496192,0.028431177139282227,-13.383833993773619,42.36177682876587
-0.093667306,4.542616844177246,38.62736392021179,33.55417823791504,-12.873805060594396,9,27.75988815105964,100000,18.29102206111275,-79.51768587361872,100,3.6786160469055176,460.16765904426575,-0.0084897885,0.020323991775512695,-12.105795094790281,42.32762098312378
-0.08107492,4.312532186508179,37.79058003425598,33.01181888580322,2.681884874380424,10,32.781459535058325,110000,18.01455398191277,-51.267330427241184,100,4.3465821743011475,502.51669096946716,0.0078120604,0.18667817115783691,-3.6076121185177907,42.324286222457886
-0.06802393,3.7682948112487793,36.17169189453125,31.95698094367981,20.472631504355814,11,43.7218936151248,120000,20.045488878909033,-79.09698439574613,100,2.814578056335449,541.5584309101105,-0.007581909,0.031874895095825195,5.263145382425307,39.01942491531372
-0.090163305,3.8572723865509033,31.901671171188354,27.59661316871643,28.88441383224434,12,38.28920957905998,130000,17.69549399995569,-64.01104469521519,100,2.0312702655792236,575.5260329246521,-0.009422095,0.015852928161621094,9.299558788637222,33.94925117492676
-0.10656465,3.751322031021118,28.328429222106934,24.111770153045654,30.824606077878332,13,37.3638293378108,140000,15.97831653217002,-30.540966564720716,100,1.8981420993804932,605.7941567897797,0.0011603516,0.021095991134643555,11.262638819669473,30.248036861419678
-0.13875331,3.7145965099334717,28.501911878585815,24.35189938545227,33.38375809963524,14,44.754316640934285,150000,14.634854014015415,-41.61089981475427,100,1.8956711292266846,636.2325987815857,0.00491792,0.018971920013427734,12.413663171824881,30.41692590713501
