train-PolicyExecTime,n_timesteps,train-NumTrajs,Time-Sampling,Time,train-EnvExecTime,train-AverageReturn,train-StdReturn,LossBefore,train-MinReturn,Time-Optimization,LossAfter,Time-SampleProc,ItrTime,Itr,train-AverageDiscountedReturn,train-MaxReturn
137.8037667274475,10000,100,142.92731070518494,155.86722612380981,4.594519853591919,9.352164739094228,8.177145721815995,0.013849079,-4.104187567959898,12.892601013183594,-1.4090219,0.03966498374938965,155.86721992492676,0,15.647455365752473,28.22220882721002
130.6660361289978,20000,100,136.00276708602905,300.19561314582825,4.818148612976074,25.079587471268464,3.1074176514194187,0.009706964,15.00853819362523,7.914644956588745,-5.840659,0.02770686149597168,143.9462890625,1,41.060782100912505,30.687238683167504
129.24717164039612,30000,100,133.84357118606567,439.6194303035736,4.13783597946167,26.06693159001385,2.2543392697902878,0.0024899384,17.359646763397045,5.525126218795776,-5.0652328,0.02099609375,139.39137315750122,2,39.498416124314105,31.22769414230766
130.09237575531006,40000,100,134.58840489387512,578.7624201774597,4.056607723236084,25.974952333466266,1.839779050024432,0.008663962,19.705610015428487,4.512559175491333,-3.4126196,0.019321680068969727,139.12142181396484,3,37.2072797353757,29.348789347739274
125.91855764389038,50000,100,130.31729102134705,713.2684552669525,3.9722630977630615,25.982534946419428,2.5838826506185795,-0.013050428,16.54815167932589,4.142215013504028,-1.9177989,0.0183413028717041,134.479562997818,4,36.38140008938175,30.808281885714436
122.35376620292664,60000,100,126.57451605796814,842.8249289989471,3.8128435611724854,26.369815932775975,2.32833893412861,-0.0012608337,16.87759536664968,2.940598964691162,-1.1122189,0.020159006118774414,129.53589010238647,5,36.560365617048134,31.663694735007425
120.34737086296082,70000,100,124.64906311035156,971.365650177002,3.8728299140930176,26.539606039770568,2.9517602224183044,0.0070822355,11.133565500154381,3.0224740505218506,-0.7417215,0.048306941986083984,128.51892518997192,6,36.240270863467615,30.445325220672586
129.39857077598572,80000,100,133.97730684280396,1109.2954952716827,4.138545751571655,26.429219465503135,2.8214809626855697,-0.0047447463,13.045977012846091,3.8965249061584473,-0.57954824,0.02401876449584961,137.90839910507202,7,35.8969551294001,31.131561148716074
125.61605501174927,90000,100,130.28146886825562,1242.8857872486115,4.214723825454712,26.720981429113017,2.5426755678276076,-0.0078079514,13.153142691319555,3.260275363922119,-0.48570225,0.01889514923095703,133.56107997894287,8,36.44498579493644,29.837840404580213
120.98584151268005,100000,100,125.30784106254578,1370.9193971157074,3.8778586387634277,26.89021497345787,1.7889051579232054,0.00081714324,21.343998101571987,2.6839497089385986,-0.42223892,0.019978046417236328,128.01215410232544,9,36.43484922312469,31.025300240196007
120.94935345649719,110000,100,125.16550803184509,1498.9658212661743,3.805600881576538,26.726202175821157,2.4656247802303106,-0.003201419,14.595138883644337,2.84102201461792,-0.37931973,0.018512725830078125,128.0253710746765,10,36.67386457793659,30.75233900227896
122.14249563217163,120000,100,126.34618973731995,1628.2168850898743,3.789613962173462,26.963324659676967,1.9217928272444749,0.010360598,14.393984775453692,2.8606009483337402,-0.333536,0.02113509178161621,129.22919487953186,11,36.62714780102708,30.612212915185786
101.95256614685059,130000,100,106.37727308273315,1736.9700891971588,3.994337797164917,26.832367130455527,1.5586593801360586,-0.0031715806,20.055018269588075,2.3275561332702637,-0.32403964,0.025161027908325195,108.73160219192505,12,36.15513124524435,30.324928306107804
88.43166518211365,140000,100,92.82679080963135,1832.0169200897217,3.971034288406372,26.761603768027342,2.2765530405265473,0.001399627,13.244618675670141,2.117607831954956,-0.29879102,0.01904296875,94.96485590934753,13,36.16645927529466,30.92827143114877
88.15769672393799,150000,100,92.4957160949707,1926.821984052658,3.912501335144043,26.684378148040363,2.413777050483647,0.0035417534,8.436868048497223,2.248584270477295,-0.298764,0.024222850799560547,94.76980686187744,14,36.1897724989763,29.606903851966784
87.5118043422699,160000,100,91.93480610847473,2021.1203582286835,4.008143186569214,26.75298512169974,3.0692488778205256,-0.0066533857,0.890148590180557,2.321582794189453,-0.29346913,0.01905083656311035,94.27688789367676,15,36.26277056481197,30.393688769297647
91.03955626487732,170000,100,95.37695097923279,2119.9180793762207,3.9172027111053467,26.507881730559937,2.2746982016490627,0.0031914688,14.905726252499486,3.3784990310668945,-0.28317198,0.01861286163330078,98.77543783187866,16,36.17332182854145,31.99776328056014
89.73645853996277,180000,100,94.07655334472656,2216.984761238098,3.912606716156006,26.981068895837588,1.5285267876164141,-0.0002769066,21.123533838837883,2.9455509185791016,-0.26016486,0.020921945571899414,97.04492998123169,17,36.37374800676792,29.981215251862995
87.90379667282104,190000,100,92.26896715164185,2311.4972891807556,3.9509592056274414,26.79269696325286,3.4490635441884683,-0.004167612,0.44779419922726305,2.2018332481384277,-0.2516174,0.020441055297851562,94.49165415763855,18,36.51553777231623,29.711386480416742
89.12567806243896,200000,100,93.48447012901306,2407.1261641979218,3.933929443359375,26.840423131163632,1.6357699555546126,-0.00045126036,20.29674833083422,2.1015748977661133,-0.25929657,0.021086931228637695,95.6084372997284,19,36.396869415956886,30.086066640647886
87.35629391670227,210000,100,91.71972417831421,2501.305469274521,3.9474430084228516,26.720207332709734,3.128591347639523,0.0010537567,2.036529981363188,2.41526198387146,-0.2687763,0.020505905151367188,94.15777516365051,20,36.364724863145966,29.747597179915488
88.2041609287262,220000,100,92.58373880386353,2595.9921383857727,3.9495508670806885,26.943289480771764,2.4185263175886864,0.021731917,11.613743951993182,2.056746006011963,-0.24513447,0.01901078224182129,94.66085577011108,21,36.6704344526053,30.563008725612033
