LossBefore,Time-Sampling,train-MaxReturn,train-MinReturn,train-PolicyExecTime,train-AverageReturn,Itr,Time-SampleProc,Time,n_timesteps,train-EnvExecTime,ItrTime,train-AverageDiscountedReturn,train-StdReturn,Time-Optimization,train-NumTrajs,LossAfter
-0.0024648926,101.58736610412598,7.928037713322119,-9.399347263355692,97.14727854728699,-2.087535702009342,0,0.019546985626220703,106.58336901664734,10000,3.920731782913208,106.58336305618286,-2.413208566620563,3.6394712446322965,4.974921941757202,100,-0.9691277
0.0054359925,101.24532198905945,4.337545275856675,-7.142345947301058,96.71938681602478,-0.7534408356366228,1,0.024369001388549805,210.82181406021118,20000,4.032997131347656,104.15061211585999,-0.3712286320047301,2.093927412046873,2.8790178298950195,100,-1.9048904
-0.020746777,106.43716716766357,6.074921408389626,-9.414202149930222,101.66452717781067,-1.30979338298963,2,0.0328981876373291,319.776389837265,30000,4.185381889343262,108.82937908172607,-1.1562504409774321,2.9688543629289392,2.3581149578094482,100,-0.77449954
0.011717426,96.84395503997803,9.304605693070457,-15.634959561702106,92.20275974273682,-4.833565605378734,3,0.024653911590576172,419.1775679588318,40000,4.152663946151733,99.37482476234436,-6.3436423747599475,5.692370487713839,2.505711317062378,100,-0.3429614
-0.010323486,96.69942593574524,10.990382021877988,-15.582061284901377,91.96086859703064,-7.372522802323058,4,0.021509885787963867,518.1228978633881,50000,4.253167152404785,98.92158317565918,-10.680813714080223,5.678363989182228,2.1991939544677734,100,-0.21235225
0.0027650178,93.07394814491272,8.921856074145223,-17.257822851881848,88.37841701507568,-7.670380356551471,5,0.019870996475219727,613.4288058280945,60000,4.217141389846802,95.28429579734802,-12.120050040643424,5.504679503655007,2.1887800693511963,100,-0.1170073
-0.010618781,92.51098322868347,9.569350296827855,-15.698432565075981,87.81558752059937,-6.4183166177902695,6,0.06093311309814453,708.2067959308624,70000,4.219268560409546,94.67586207389832,-10.08716370871253,5.789707274606614,2.102400064468384,100,-0.061318025
0.007848291,90.43107008934021,4.258831033988282,-16.133103241303935,85.83675050735474,-4.007708416291469,7,0.019805192947387695,801.0971138477325,80000,4.101299285888672,92.79877781867981,-5.6914857803899475,5.818167959678492,2.3465800285339355,100,-0.034985438
0.019041711,89.08269214630127,3.977044927005542,-15.856312660847736,84.48234272003174,-5.415612699014963,8,0.019782066345214844,892.4333050251007,90000,4.08568263053894,91.30965685844421,-8.423015292188587,5.857422632049294,2.2044496536254883,100,-0.009566455
0.0002114746,90.51915717124939,5.168751435302112,-15.14393292334643,85.89633989334106,-4.61323171198981,9,0.02483987808227539,985.1170129776001,100000,4.122807502746582,92.66315603256226,-6.807397913468815,6.2603604978128295,2.117649793624878,100,-0.12431678
0.01164466,86.58601593971252,4.703597468091944,-13.069136044928602,82.14730548858643,1.6505041361377573,10,0.020990848541259766,1073.8241469860077,110000,3.964033603668213,88.6780321598053,5.818335487321848,2.172742262700115,2.070648193359375,100,-0.121328294
-0.012585019,85.23342514038086,4.760217574507199,-1.7439218740696703,80.59134149551392,1.8318170268109608,11,0.020639896392822266,1161.1816928386688,120000,3.986912727355957,87.33584499359131,6.284046737859818,1.3356171292418617,2.079707145690918,100,-0.05192302
-0.0036188539,84.18258309364319,5.515378265707778,-0.6944994295332643,79.75938296318054,1.8318794220385215,12,0.020509004592895508,1247.451103925705,130000,3.954514503479004,86.24650001525879,6.234582357496495,1.204193496739799,2.0426077842712402,100,-0.15430522
-0.0059160218,82.71084213256836,5.176418768608361,-0.8286408137662364,78.26847195625305,1.862775512884221,13,0.021611928939819336,1332.319923877716,140000,3.972954750061035,84.84733510017395,6.114007436403114,1.341515420433416,2.110837936401367,100,-0.31905013
0.006346265,88.45538806915283,6.935863174135746,-2.125178223228038,83.88615798950195,1.644671839812526,14,0.024980783462524414,1422.9169659614563,150000,4.077340841293335,90.5762369632721,5.299672860307278,1.5666234718544259,2.0940463542938232,100,-0.26897633
0.00020871582,86.30128502845764,5.064997774326722,-3.2460628391982485,81.81307911872864,1.34754583098169,15,0.022934913635253906,1511.4214568138123,160000,4.004828929901123,88.48309302330017,4.109993534586633,1.808387054879986,2.157180070877075,100,-0.287663
-0.011001007,90.75972604751587,4.624445152447519,-4.380379955401741,86.25627994537354,1.3831674799795863,16,0.020797014236450195,1604.3715777397156,170000,4.024676084518433,92.92723989486694,4.050504818242092,1.9046157037613465,2.1450250148773193,100,-0.34526816
-0.007992151,93.46566104888916,5.072816945500188,-5.186793623349599,88.95767307281494,0.47415801478874864,17,0.02510809898376465,1700.0394659042358,180000,4.03285551071167,95.64515805244446,1.667557279172707,2.2631865760638954,2.151956796646118,100,-0.323078
0.0034194763,99.61769127845764,4.608733234804343,-5.221173501035509,95.07915306091309,0.21806708612844342,18,0.019073009490966797,1801.9829609394073,190000,4.063736200332642,101.92160487174988,0.6407654065681744,2.05496859983335,2.2830352783203125,100,-0.39979687
0.0015090576,100.75039005279541,5.550487629207009,-6.004543005780434,95.94734239578247,-0.6319005376987348,19,0.020005226135253906,1904.9770150184631,200000,4.304942846298218,102.97288608551025,-1.365438698431223,2.431393206519618,2.20176362991333,100,-0.4959267
0.012197387,112.00010991096497,7.702241803978582,-5.806507543977855,107.32611155509949,-0.5625098811333817,20,0.025766849517822266,2019.619045972824,210000,4.162319183349609,114.6175229549408,-1.1708395359766697,2.496517623699346,2.5903658866882324,100,-0.48991704
