train-NumTrajs,train-MaxReturn,ItrTime,n_timesteps,train-MinReturn,train-PolicyExecTime,train-StdReturn,LossAfter,train-AverageReturn,train-AverageDiscountedReturn,Time-SampleProc,Time-Sampling,Time-Optimization,Itr,train-EnvExecTime,Time,LossBefore
100,28.991613327733315,9.202954292297363,10000,-6.669759927252729,5.719366550445557,8.131527602945425,-0.2272051,9.719581693397933,15.815863598320123,0.09990429878234863,8.598164319992065,0.5045938491821289,0,2.629601001739502,9.202958345413208,0.012950252
100,31.067717174019805,9.308826446533203,20000,0.5804351571544497,5.7362847328186035,5.272963932937609,-0.21422236,23.05029110868434,32.79658631469087,0.08601903915405273,8.912699222564697,0.30903077125549316,1,2.927475690841675,18.53931999206543,-0.004236331
100,29.378849175938637,9.431691884994507,30000,7.582937255110203,5.936929702758789,3.9971202098689433,-0.05147685,23.783842378604753,37.93800886905388,0.07169127464294434,9.034999132156372,0.3247799873352051,2,2.8508269786834717,27.987749814987183,0.0127458
100,26.41422603800764,9.234724760055542,40000,12.187277916015969,5.668505668640137,3.0102736173171425,-0.3830213,20.949056107055707,34.622949165176195,0.0655519962310791,8.803826570510864,0.3650674819946289,3,2.8799638748168945,37.239338636398315,0.005596167
100,29.524650870745052,9.405406475067139,50000,23.376495526691546,5.737155199050903,1.38012093250812,-1.4313809,26.455910726360784,38.99316947573715,0.11417317390441895,8.908742189407349,0.382260799407959,4,2.9160332679748535,46.66606068611145,-0.0062248018
100,29.04620249144658,9.319610118865967,60000,0.934091665076737,5.7227208614349365,6.68404029688623,-0.37545425,24.831177537075344,40.3569618565775,0.10212063789367676,8.822743892669678,0.39449214935302734,5,2.8586487770080566,56.00368404388428,0.009475369
100,28.714686787271077,9.400440692901611,70000,2.9684740485582988,5.821098804473877,7.244652594349378,-0.085604325,23.134642340708602,36.542809724925796,0.10825228691101074,8.994474172592163,0.2974972724914551,6,2.9244096279144287,65.42428255081177,-0.0004259102
100,28.839875022376365,9.570273399353027,80000,24.899769401275456,6.010406494140625,0.8848402389914122,-0.11703885,26.921664563607877,38.14402853847888,0.04322671890258789,9.2186861038208,0.30812954902648926,7,2.9536986351013184,75.01149821281433,-0.0067212493
100,29.109944886436107,9.557326316833496,90000,24.490478358543005,5.9585466384887695,0.8784042735707184,-0.18332227,26.785384845592453,37.546473498856216,0.047118425369262695,9.176626443862915,0.33335256576538086,8,2.9720311164855957,84.58698964118958,-0.003926282
100,29.355790460598893,9.522277593612671,100000,24.15808430847878,5.918483257293701,0.9233716266021336,-0.2572517,26.23226686985881,39.30417599445793,0.04153752326965332,9.167531251907349,0.3129918575286865,9,2.9890809059143066,94.12890601158142,0.01437225
100,-7.137727778076266,9.611012935638428,110000,-15.454631888204778,6.0492260456085205,2.03271341160583,-0.0064582275,-11.385733466642938,-16.428537449266937,0.033239126205444336,9.261414527893066,0.31615209579467773,10,2.966813564300537,103.75969290733337,0.0064537534
100,-8.899965724996477,9.433786630630493,120000,-17.01784274788862,5.768577575683594,1.7100381282092796,-0.13529858,-13.259734218619206,-19.207959985469095,0.08831429481506348,9.03384804725647,0.3044276237487793,11,3.00227427482605,113.21400547027588,-0.013054915
100,-9.423054162152381,9.703795671463013,130000,-16.909265164003113,6.048116445541382,1.5887206090047366,-0.07374097,-13.035331071029068,-19.014103445236856,0.09732937812805176,9.300659894943237,0.30559778213500977,12,3.0020668506622314,122.93637132644653,-0.017867578
100,-9.72894293409524,9.479212284088135,140000,-17.36222339549924,5.861160039901733,1.5485258371520694,-0.018270133,-13.033345156518934,-19.072605654470948,0.08202266693115234,9.103670120239258,0.2932910919189453,13,2.9794678688049316,132.43586087226868,-0.0054732743
100,-9.578178462972831,9.45861005783081,150000,-16.949888942235983,5.865307092666626,1.3971900908596706,-0.03926049,-13.337784050542883,-19.43099534443096,0.05675101280212402,9.107534408569336,0.29407811164855957,14,2.9957633018493652,141.91178727149963,-0.0013784119
100,-8.424954624390567,9.57245922088623,160000,-16.997850300428453,5.730087518692017,1.807253649011308,-0.0017464111,-13.306380223262149,-19.368362901736848,0.13311433792114258,8.977141380310059,0.4619936943054199,15,2.9864845275878906,151.50382733345032,-0.0073943236
100,-9.935174719075867,9.585318088531494,170000,-16.809599220904428,5.8546271324157715,1.5597307348419418,-0.0153861325,-13.025925439058387,-18.985051677609196,0.0707852840423584,9.094681978225708,0.4193243980407715,16,3.0004940032958984,161.11446404457092,-0.014145361
100,-9.72576142811667,9.344785451889038,180000,-17.062182920569885,5.734995603561401,1.6559692654573068,-0.0019610748,-13.284676411557108,-19.35091639948898,0.09789013862609863,8.934359073638916,0.3117504119873047,17,2.9436488151550293,170.48023343086243,0.0011701554
100,-8.356036312918265,9.628371953964233,190000,-16.595292116948077,5.901254892349243,1.6749619392369755,-0.02642359,-13.18326403973524,-19.148639019050194,0.11227822303771973,9.211017608642578,0.30486106872558594,18,3.0579140186309814,180.12510180473328,-0.020139713
100,-9.809425387659346,9.464154958724976,200000,-16.930175287166378,5.844630479812622,1.572766827588703,-0.03977977,-13.368856570166374,-19.332010322353778,0.09458136558532715,9.068902254104614,0.300443172454834,19,2.960254192352295,189.6090636253357,-0.007098004
100,-9.140821943610277,9.460383415222168,210000,-16.894564862166096,5.860350847244263,1.745006201016322,-0.022378327,-13.324334728773167,-19.27146365173295,0.09798479080200195,9.06211543083191,0.3000617027282715,20,2.942830801010132,199.08746647834778,0.0046190917
100,-8.637536828106438,9.475032567977905,220000,-16.714313812513637,5.843093156814575,1.678587455653334,0.0033581604,-13.493574969683959,-19.62886265609918,0.0651099681854248,9.104422092437744,0.30527758598327637,21,3.008352041244507,208.57886624336243,0.008198036
100,-9.081454127155087,9.42313289642334,230000,-17.25763633048135,5.763853549957275,1.7278791224392616,-0.0018338623,-13.329338024488322,-19.429701200012026,0.052576303482055664,9.049266576766968,0.3210451602935791,22,3.007678508758545,218.02000522613525,0.009112659
100,-9.643701349960553,9.435611963272095,240000,-17.274867454446515,5.726111173629761,1.5962030570714667,0.002777945,-13.165173418218016,-19.137453227297314,0.12266993522644043,9.01539921760559,0.2973344326019287,23,3.018468141555786,227.4703860282898,0.020959936
100,-9.104819752788423,9.251761198043823,250000,-17.234476755443357,5.674644231796265,1.6015744334813222,-0.011485507,-13.074145002036412,-18.995674990834196,0.0533905029296875,8.891357183456421,0.3068103790283203,24,2.969388008117676,236.74064588546753,0.0035697047
