Itr,Time-Optimization,train-MinReturn,LossBefore,Time-SampleProc,Time,train-PolicyExecTime,train-AverageReturn,train-StdReturn,LossAfter,train-NumTrajs,ItrTime,train-EnvExecTime,n_timesteps,train-AverageDiscountedReturn,Time-Sampling,train-MaxReturn
0,7.46147894859314,-123.81031756677878,-0.010957226,0.03767132759094238,79.58357214927673,66.02135467529297,-29.806026278019896,35.57620797955886,-0.43918985,100,79.58356475830078,5.457138538360596,10000,-51.20695964273574,72.08330702781677,57.87514484881543
1,1.9912571907043457,-144.92251377162768,0.035499267,0.028101205825805664,120.19225192070007,33.06171131134033,-52.60597880500493,44.197599112430076,-0.4053128,100,40.36089825630188,4.721086502075195,20000,-90.88047755157795,38.33973789215088,55.558191506813806
2,2.4235951900482178,-161.76330307991518,0.010923047,0.11502218246459961,156.90330410003662,29.89897656440735,-60.50489412139865,40.113063424200064,-0.19411963,100,36.686448097229004,3.8006279468536377,30000,-104.16426797747283,34.147003173828125,35.680655157460954
3,2.350142002105713,-139.68252282393354,-0.0006451416,0.041651010513305664,195.80270195007324,31.920887231826782,-42.400130694576646,39.5821763729825,-0.29730555,100,38.87663698196411,4.062690258026123,40000,-70.21968490437456,36.48424506187439,42.53170479541389
4,2.29811692237854,-153.13281956449046,-0.01025398,0.021605968475341797,236.64775896072388,34.017555952072144,-41.234012774832316,44.55177171691142,-0.2909783,100,40.82315492630005,3.9495153427124023,50000,-69.27832138730699,38.50150680541992,76.77257935307902
5,2.2418372631073,-187.49343756641323,0.01453518,0.021239042282104492,276.8203411102295,33.59165549278259,-92.04276978867843,40.1527409078023,-0.0053934082,100,40.05970096588135,3.7760958671569824,60000,-166.05361703364338,37.79625868797302,6.770836395809452
6,2.570266008377075,-184.49575430641,-0.014826538,0.020966053009033203,316.2804329395294,32.56942343711853,-102.35628646182481,37.53436165503664,-0.090966955,100,39.437695026397705,3.8020825386047363,70000,-186.18271230922693,36.83924889564514,2.1311911684540505
7,3.036983013153076,-169.29224630659243,0.0026266114,0.0280611515045166,368.21438813209534,43.17115592956543,-85.32551235979935,40.61365198001018,-0.08797153,100,51.87611794471741,5.032158136367798,80000,-151.12241103804266,48.808871030807495,45.02935967182176
8,2.4087941646575928,-148.25625992363814,-0.0026551269,0.02155280113220215,410.3561329841614,35.336026430130005,-46.48644339318532,40.563321737065785,-0.16292539,100,42.111809968948364,3.8670003414154053,90000,-81.48816875415955,39.680174112319946,78.64585718339981
9,2.267641067504883,-107.08596188564988,0.009188867,0.022073030471801758,452.90691804885864,34.8639919757843,-19.304658388681677,38.16928213553723,-0.080260545,100,42.53094816207886,4.861602306365967,100000,-30.899245280091154,40.240630865097046,65.8790741201519
10,2.3015198707580566,-86.6305824780377,0.01329867,0.022315025329589844,493.77521896362305,33.77777099609375,-16.345908423514413,33.73210829943596,-0.086030565,100,40.843379974365234,4.223539352416992,110000,-28.01100104554194,38.51817297935486,60.56536814437581
11,2.2703468799591064,-155.02460231760574,-0.02902251,0.019580841064453125,535.4878778457642,35.17959952354431,-30.61691324962088,41.506489733576686,-0.12978545,100,41.69123196601868,3.7777013778686523,120000,-50.69993925781383,39.40038204193115,81.5361358576298
12,1.853783130645752,-134.12424226984075,-0.008264331,0.02020406723022461,568.6788418292999,26.95004391670227,-33.13904696964717,36.64366616612441,-0.17450583,100,33.16167712211609,3.8806638717651367,130000,-56.6689375547834,31.28725814819336,78.48638566263138
13,1.884798288345337,-175.640707346304,0.0065991697,0.02219390869140625,598.6778619289398,23.88250470161438,-58.10470459306193,43.43994508763058,-0.11843833,100,29.97666883468628,3.74975848197937,140000,-104.81025491520865,28.0692720413208,47.73267298272285
14,1.9061110019683838,-159.44753810466563,0.007409595,0.022166013717651367,628.982852935791,24.035288095474243,-73.26118446680366,36.40011214706054,-0.13909729,100,30.28350019454956,3.8394525051116943,150000,-131.13084548037392,28.35469102859497,26.96240864101132
15,1.8459219932556152,-145.35145349422152,-0.008276978,0.020161867141723633,658.668643951416,23.622372150421143,-76.15112222501493,36.61980774260165,-0.08568149,100,29.663702964782715,3.7441060543060303,160000,-133.78545202163016,27.796841859817505,30.224485108049752
16,1.8859920501708984,-155.61462869679977,0.020193018,0.019749164581298828,688.683522939682,23.884411573410034,-73.74498300977048,35.0854824789913,-0.068808496,100,29.993732690811157,3.772846221923828,170000,-130.91685362014368,28.086668729782104,21.07730251470741
17,1.8126728534698486,-185.29497170819647,0.002772998,0.020087003707885742,717.6735229492188,22.945165634155273,-75.49929796773151,37.61402878038628,-0.23919617,100,28.96831727027893,3.7621991634368896,180000,-135.12144712678858,27.135098934173584,19.67762279764628
18,1.8647871017456055,-166.0052287957935,-0.0025142457,0.019404172897338867,747.5282959938049,23.72368288040161,-77.91230984488502,41.376876028354225,-0.23152299,100,29.833033800125122,3.7897961139678955,190000,-139.1948182039297,27.947502851486206,71.98428114850279
19,1.8992290496826172,-221.56749793702116,-0.019727947,0.02134990692138672,776.5732469558716,22.74396777153015,-79.14216571298967,41.459379111345,-0.3393794,100,29.022090196609497,3.9286692142486572,200000,-139.48734719707497,27.09986901283264,11.638169046520916
