train-MaxReturn,n_timesteps,train-NumTrajs,Time,Time-SampleProc,train-StdReturn,Time-Optimization,train-AverageDiscountedReturn,LossBefore,LossAfter,Time-Sampling,train-MinReturn,ItrTime,train-EnvExecTime,Itr,train-AverageReturn,train-PolicyExecTime
170.3188638448334,10000,100,149.92055201530457,0.022372722625732422,99.6637871041678,6.228466749191284,-116.32342442813568,-0.014811109,-5.57224,143.6568729877472,-200.44316944133604,149.92054295539856,5.215347051620483,0,-43.55445103790252,137.97802424430847
206.86089125856142,20000,100,292.9910719394684,0.028715848922729492,27.499694945076183,2.6247169971466064,302.7217070558292,-0.0039465697,-0.119264305,140.32418775558472,78.78990582108247,142.97903513908386,5.05230712890625,1,166.24303174006272,134.8094184398651
194.87729475774114,30000,100,431.3022620677948,0.021358013153076172,12.498379628729555,2.7322323322296143,325.1768937458144,0.020948306,-0.4178528,135.42417097091675,136.91311411935592,138.1786069869995,4.872558116912842,2,176.65157804129154,130.0967140197754
185.89603118270924,40000,100,574.9047219753265,0.01860809326171875,9.861170385436091,3.0612268447875977,307.11313118453245,0.011257389,-1.7571574,140.4986231327057,136.013427138415,143.58060598373413,4.912766695022583,3,167.75458515455003,134.95503902435303
164.1032795376116,50000,100,717.7709159851074,0.07523274421691895,12.386741794314542,4.541559219360352,253.8974347744804,0.005274181,-4.332857,138.22338891029358,106.49848013570423,142.84096002578735,4.883323669433594,4,141.9880036429529,132.9041130542755
118.84396591450846,60000,100,849.4030520915985,0.022009849548339844,14.077190659320719,2.80430269241333,147.802216643947,0.0010613098,-10.125172,128.77505683898926,48.377122653989744,131.60298323631287,4.8881378173828125,5,92.44172455675333,123.45147800445557
80.88880357072337,70000,100,993.4164500236511,0.017589092254638672,22.82755902515,3.860300064086914,36.67165053888752,0.015293982,-5.841933,140.1083950996399,-26.845691657876312,143.98764634132385,5.03039026260376,6,33.75010561405993,134.63818836212158
105.81640687547373,80000,100,1136.9435729980469,0.020370960235595703,35.983556799837366,2.744178056716919,101.06596446019037,-0.0128464475,-0.61246836,140.73946595191956,-62.10575444343882,143.50667595863342,4.8907623291015625,7,62.70576825389739,135.4126160144806
125.47645715080452,90000,100,1286.1811151504517,0.023459196090698242,63.65329659664082,4.751850128173828,95.88899890968743,0.00025759582,-1.0332028,144.39993596076965,-235.78919028277562,149.17604780197144,5.270116806030273,8,59.44280856743983,138.67022442817688
116.54358383572824,100000,100,1431.84423494339,0.024014711380004883,61.688545727308686,2.81295108795166,-44.740998794650714,0.0011936645,-0.3169858,142.80402088165283,-140.7066778470358,145.64259815216064,5.451995372772217,9,-4.7653585850771245,136.86173844337463
140.57256266218818,110000,100,1574.8149991035461,0.02384495735168457,42.97878679779095,2.8267998695373535,-68.68860765981252,-0.0026542114,-0.6434858,140.0962963104248,-118.40184557901568,142.94891095161438,5.188380241394043,10,-13.269025680280002,134.42555332183838
90.41884600139957,120000,100,1703.3600509166718,0.021510839462280273,41.74371887288621,2.7740490436553955,3.9295328574610413,-0.0012197754,-0.03243352,125.72196793556213,-118.51384197010523,128.5201940536499,4.7566070556640625,11,10.61740937615103,120.53349757194519
43.64393236869857,130000,100,1834.8229250907898,0.022839784622192383,42.42952776911482,3.171900749206543,-191.18756606647915,-0.029442225,-0.1634643,128.21373414993286,-147.64534455775637,131.40919017791748,5.047601938247681,12,-80.23833720069607,122.71402382850647
45.30176134289762,140000,100,1969.719211101532,0.01953911781311035,33.73764700349568,2.838425874710083,-250.38240871514827,0.017396448,-0.936391,132.0163378715515,-158.14845786714952,134.87467312812805,4.927731275558472,13,-106.34972448210596,126.65415620803833
-26.64530059974096,150000,100,2107.845001935959,0.020854949951171875,26.41214545337647,3.2045199871063232,-248.0241499752944,-0.009678552,-11.165341,134.83359575271606,-150.88555447302116,138.06039190292358,4.768741607666016,14,-107.95513758739453,129.63527131080627
17.703331926497388,160000,100,2246.6293749809265,0.021296977996826172,21.99896608312477,4.015627145767212,-23.415667300864946,-0.0042523313,-6.5022936,134.71980595588684,-52.832178820237374,138.7583417892456,4.620882272720337,15,-29.637552812672915,129.6747031211853
-36.450312523373825,170000,100,2400.018405199051,0.021631956100463867,4.276296922749161,5.001136779785156,-67.16889281218347,0.0040531494,-11.000416,148.33840608596802,-60.67408773955806,153.3655469417572,4.807203054428101,16,-48.41112119123361,142.94303369522095
-39.13745317886758,180000,100,2628.1532270908356,0.10723185539245605,3.1089377851316606,4.735456943511963,-130.49846473960258,-0.0008221924,-1.9720328,223.2548520565033,-53.42208063465745,228.09879899024963,6.044884443283081,17,-47.22319586713729,216.66330885887146
-39.625725129390176,190000,100,3054.125337123871,0.36118292808532715,2.882656734469966,10.736798763275146,-130.72309709962204,0.029779904,-0.6509783,414.8415811061859,-53.711975703678654,425.9413220882416,6.579252004623413,18,-47.2649379213483,407.2497498989105
-39.28531327015878,200000,100,3350.574840068817,0.06997513771057129,2.863849598322083,4.371546983718872,-129.82149361346367,0.001761052,-0.44092354,291.95315408706665,-53.273098191282536,296.3963658809662,6.111221075057983,19,-46.899600627844,285.2599399089813
-39.818459955547596,210000,100,3577.6775040626526,0.03256964683532715,3.219728872962115,3.2429449558258057,-130.69553268403484,0.012397551,-0.42415288,223.79165410995483,-53.08820258498956,227.06857800483704,5.242189645767212,20,-47.26512725015559,218.0661473274231
-38.1338965579834,220000,100,3758.3793110847473,0.044785261154174805,3.0799215143655316,2.9273719787597656,-130.20773573833517,-0.001919992,-0.5035313,177.70619106292725,-54.88648504960151,180.67996859550476,4.887769937515259,21,-47.04883666816686,172.38696837425232
