Time-Optimization,train-PolicyExecTime,LossAfter,train-EnvExecTime,Itr,Time,train-AverageDiscountedReturn,Time-SampleProc,train-MinReturn,Time-Sampling,n_timesteps,LossBefore,ItrTime,train-MaxReturn,train-NumTrajs,train-StdReturn,train-AverageReturn
6.474907875061035,25.2396719455719,-4.8055534,4.621336221694946,0,36.91725206375122,-67.5509573559411,0.051177978515625,-114.77165126801748,30.390270948410034,10000,-1.2207031e-08,36.91724514961243,57.893667583451226,100,30.795492739213604,-39.47443975665588
2.096950054168701,25.982200860977173,-0.107825205,4.364964246749878,1,70.00274896621704,-52.09370693317331,0.05559492111206055,-114.69354161420414,30.836432933807373,20000,-1.8310548e-08,32.989725828170776,88.54403532819298,100,37.05390220848595,-31.136719482321855
1.931121826171875,24.735804080963135,-0.18268667,4.338324069976807,2,101.6548421382904,-88.15778217378771,0.05586504936218262,-172.03227555002934,29.622326135635376,30000,-3.967285e-08,31.625895977020264,47.13804776646428,100,48.284133933984954,-51.759793426603245
1.9813649654388428,28.640892505645752,-0.1413985,4.519746541976929,3,137.37250113487244,-91.62615025101259,0.058851003646850586,-176.3068654434589,33.653786182403564,40000,1.525879e-08,35.6954071521759,72.64663269124381,100,52.89905772767695,-53.8667093957761
2.114605188369751,26.081082820892334,-0.04723657,4.369440317153931,4,170.55037808418274,-94.29238889631667,0.08470726013183594,-205.3872894806331,30.94217872619629,50000,1.449585e-08,33.155314922332764,63.69533082415945,100,51.27527857589202,-55.85995210165701
1.7647910118103027,27.070372581481934,-0.049743004,4.33296012878418,5,204.31611013412476,-81.2752114548931,0.05554795265197754,-162.81367313217717,31.91704511642456,60000,7.629395e-09,33.73911499977112,53.30491265669598,100,50.52317113070958,-46.1850262523487
2.115868091583252,30.38494873046875,-0.048848946,4.754116773605347,6,242.21258020401,-84.1302424558049,0.08711504936218262,-189.80701596804576,35.67097783088684,70000,-3.0517577e-09,37.87463998794556,79.63203177080052,100,48.51821794392639,-48.779175110120306
1.965648889541626,27.562493324279785,-0.045806188,4.38930606842041,7,276.76113200187683,-64.07745780978357,0.08474922180175781,-156.17072794451497,32.47479820251465,80000,1.5258789e-09,34.526551961898804,100.29069503268327,100,53.92699816177157,-40.04183716868482
1.9406931400299072,26.192584991455078,-0.03511779,4.308535814285278,8,309.76516914367676,-68.89683957622488,0.047332763671875,-186.97868672822997,30.99353528022766,90000,1.2207031e-08,32.98252296447754,62.481911061840606,100,45.768587402369434,-39.02432704117432
1.8207659721374512,25.4580340385437,-0.036602437,4.449210166931152,9,342.0771610736847,-90.28216952157034,0.06905412673950195,-156.53177856531462,30.397982835769653,100000,-1.525879e-08,32.291730880737305,55.82407108603623,100,47.50341654514759,-51.332803067814076
